date, pm10, o3, no2
2017/10/15, 12, 23, 3
2017/10/16, 13, 20, 3
2017/10/17, 8, 21, 3
2017/10/18, 4, 16, 10
2017/10/19, 10, 19, 14
2017/10/20, 9, 22, 4
2017/10/21, 7, 22, 10
2017/10/22, 6, 24, 7
2017/10/23, 6, 21, 6
2017/10/24, 7, 22, 3
2017/10/25, 7, 11, 3
2017/10/26, 3, 11, 7
2017/10/27, 3, 21, 3
2017/10/28, 3, 25, 2
2017/10/29, 1, 28, 3
2017/10/30, 7, 26, 5
2017/10/31, 10, 17, 6
2017/11/1, 6, 16, 6
2017/11/2, 5, 21, 10
2017/11/3, 12, 28, 2
2017/11/4, 5, 16, 2
2017/11/5, 13, 21, 4
2017/11/6, 11, 8, 14
2017/11/7, 16, 12, 11
2017/11/8, 17, 21, 3
2017/11/9, 11, 21, 5
2017/11/10, 10, 22, 4
2017/11/12, 4, 17, 7
2017/11/13, 5, 16, 10
2017/11/14, 9, 21, 6
2017/11/15, 5, 22, 11
2017/11/16, 11, 26, 4
2017/11/17, 6, 27, 4
2017/11/18, 5, 17, 5
2017/11/19, 4, 14, 6
2017/11/20, 2, 10, 7
2017/11/21, 4, , 
2017/11/23, 11, 17, 6
2017/11/24, 12, 13, 4
2017/11/25, 8, 16, 6
2017/11/26, 6, 17, 6
2017/11/27, 14, 19, 7
2017/11/28, 3, 19, 6
2017/11/29, 3, 12, 8
2017/11/30, 7, 15, 5
2017/12/1, 3, 19, 3
2017/12/2, 3, 21, 2
2017/12/3, 3, 23, 8
2017/12/4, 7, 22, 10
2017/12/5, 7, 23, 9
2017/12/6, 4, 16, 10
2017/12/7, 4, 26, 2
2017/12/8, 3, 25, 1
2017/12/9, 2, 19, 3
2017/12/10, 3, 16, 10
2017/12/11, 4, 13, 8
2017/12/12, 4, 19, 6
2017/12/13, 5, 21, 5
2017/12/14, 7, 12, 8
2017/12/15, 2, 13, 4
2017/12/16, 3, 17, 5
2017/12/17, 8, 12, 8
2017/12/18, 19, 14, 5
2017/12/19, 6, 11, 6
2017/12/20, 12, 10, 6
2017/12/21, 5, 21, 7
2017/12/22, 4, 23, 2
2017/12/23, 3, 27, 2
2017/12/24, 6, 16, 4
2017/12/25, 3, 21, 3
2017/12/26, 1, 25, 2
2017/12/27, 2, 20, 4
2017/12/28, 13, 17, 5
2017/12/29, 8, 20, 3
2017/12/30, 5, , 
2017/7/1, 8, 23, 3
2017/7/2, 11, 23, 2
2017/7/3, 11, 22, 3
2017/7/4, 8, 22, 6
2017/7/5, 8, 25, 2
2017/7/6, 12, 30, 4
2017/7/7, 11, 31, 1
2017/7/8, 9, 25, 3
2017/7/9, 8, 28, 2
2017/7/10, 10, 26, 5
2017/7/11, 10, 29, 4
2017/7/12, 9, 25, 1
2017/7/13, 7, 24, 2
2017/7/14, 7, 28, 2
2017/7/15, 7, 35, 
2017/7/16, 11, 22, 1
2017/7/17, 8, 22, 1
2017/7/18, 6, 21, 2
2017/7/19, 7, 24, 4
2017/7/20, 9, 23, 4
2017/7/21, 6, 25, 2
2017/7/22, 7, 21, 3
2017/7/23, 5, 20, 3
2017/7/24, 9, 21, 3
2017/7/25, 10, 21, 4
2017/7/26, 9, 25, 3
2017/7/27, 8, 21, 4
2017/7/28, 9, 29, 2
2017/7/29, 9, 26, 1
2017/7/30, 9, 30, 2
2017/7/31, 10, 31, 3
2017/8/1, 12, 29, 3
2017/8/2, 14, 30, 2
2017/8/3, 10, 25, 2
2017/8/4, 8, 25, 1
2017/8/5, 6, 20, 1
2017/8/6, 6, 26, 1
2017/8/7, 9, 38, 4
2017/8/8, 16, 31, 3
2017/8/9, 14, 34, 2
2017/8/10, 14, 33, 3
2017/8/11, 9, 33, 2
2017/8/12, 10, 20, 2
2017/8/13, 7, 25, 5
2017/8/14, 9, 28, 4
2017/8/15, 11, 28, 3
2017/8/16, 13, 27, 6
2017/8/17, 11, 25, 3
2017/8/18, 10, 28, 1
2017/8/19, 7, 27, 1
2017/8/20, 8, 29, 5
2017/8/21, 9, 17, 3
2017/8/22, 8, 17, 3
