date, o3, no2
2017/8/31, 32, 1
2017/9/1, 41, 
2017/9/2, 38, 6
2017/9/3, 35, 8
2017/9/4, 36, 5
2017/9/5, 41, 
2017/9/6, 39, 
2017/9/11, 31, 28
2017/9/12, 25, 4
2017/9/13, 36, 13
2017/9/14, 30, 9
2017/9/15, 28, 9
2017/9/16, 29, 14
2017/9/17, 34, 13
2017/9/18, 29, 10
2017/9/19, 33, 11
2017/9/20, 32, 11
2017/9/21, 39, 7
2017/9/22, 37, 3
2017/9/23, 35, 7
2017/9/24, 35, 18
2017/9/25, 25, 9
2017/9/26, 35, 4
2017/9/27, 36, 1
2017/9/28, 36, 
2017/9/29, 36, 2
2017/9/30, 35, 5
2017/4/1, 32, 18
2017/4/2, 32, 13
2017/4/3, 33, 5
2017/4/4, 39, 6
2017/4/5, 38, 3
2017/4/6, 44, 4
2017/4/7, 50, 4
2017/4/8, 48, 4
2017/4/9, 45, 5
2017/4/10, 40, 6
2017/4/11, 40, 17
2017/4/12, 28, 24
2017/4/13, 12, 9
2017/4/14, 28, 11
2017/4/15, 32, 10
2017/4/16, 43, 4
2017/4/17, 41, 7
2017/4/18, 40, 4
2017/4/19, 40, 2
2017/4/20, 44, 1
2017/4/21, 46, 2
2017/4/22, 45, 3
2017/4/23, 46, 5
2017/4/24, 44, 15
2017/4/25, 38, 8
2017/4/26, 35, 14
2017/4/27, 27, 6
2017/4/28, 34, 6
2017/4/29, 34, 13
2017/4/30, 36, 14
2017/5/1, 34, 5
2017/5/2, 42, 4
2017/5/3, 43, 3
2017/5/4, 42, 13
2017/5/5, 37, 20
2017/5/6, 24, 15
2017/5/7, 28, 9
2017/5/8, 40, 21
2017/5/9, 32, 10
2017/5/10, 26, 9
2017/5/11, 31, 8
2017/5/12, 28, 14
2017/5/13, 25, 17
2017/5/14, 29, 8
2017/5/15, 40, 5
2017/5/16, 41, 4
2017/5/17, 42, 15
2017/5/18, 37, 17
2017/5/19, 39, 3
2017/5/20, 43, 4
2017/5/21, 42, 4
2017/5/22, 41, 8
2017/5/23, 38, 3
2017/5/24, 45, 4
2017/5/25, 43, 19
2017/5/26, 32, 13
2017/5/27, 41, 14
2017/5/28, 37, 14
2017/5/29, 25, 16
2017/5/30, 32, 5
2017/5/31, 40, 3
2017/6/1, 42, 3
2017/6/2, 39, 17
2017/6/3, 33, 15
2017/6/4, 35, 9
2017/6/5, 32, 14
2017/6/6, 28, 13
2017/6/7, 44, 3
2017/6/8, 43, 7
2017/6/9, 34, 
2017/6/13, 39, 19
2017/6/14, 29, 14
2017/6/15, 26, 2
2017/6/16, 40, 5
2017/6/17, 44, 4
2017/6/18, 49, 2
2017/6/19, 51, 2
2017/6/20, 44, 11
2017/6/21, 38, 23
2017/6/22, 23, 23
2017/6/23, 23, 25
2017/6/24, 31, 17
2017/6/25, 49, 20
2017/6/26, 40, 11
2017/6/27, 28, 8
2017/6/28, 21, 12
2017/6/29, 27, 14
2017/6/30, 25, 16
2017/1/2, 13, 16
2017/1/3, 9, 18
2017/1/4, 9, 16
2017/1/5, 8, 12
2017/1/6, 12, 13
2017/1/7, 8, 12
2017/1/8, 8, 17
2017/1/9, 4, 17
2017/1/10, 1, 14
2017/1/11, , 11
2017/1/12, , 8
2017/1/20, 24, 15
2017/1/21, 24, 11
2017/1/22, 29, 17
2017/1/23, 30, 16
2017/1/24, 26, 11
2017/1/25, 34, 12
2017/1/26, 34, 5
2017/1/27, 31, 14
2017/1/28, 22, 20
2017/1/29, 23, 13
2017/1/30, 27, 8
2017/1/31, 27, 15
2017/2/1, 27, 8
2017/2/2, 27, 8
2017/2/3, 23, 4
2017/2/4, 27, 6
2017/2/5, 28, 15
2017/2/6, 27, 17
2017/2/7, 26, 16
2017/2/8, 22, 14
2017/2/9, 32, 13
2017/2/10, 29, 2
2017/2/11, 34, 6
2017/2/12, 32, 8
2017/2/13, 32, 10
2017/2/14, 28, 4
2017/2/15, 35, 4
2017/2/16, 33, 4
2017/2/17, 33, 7
2017/2/18, 34, 10
2017/2/19, 35, 2
2017/2/20, 35, 2
2017/2/21, 35, 4
2017/2/22, 34, 16
2017/2/23, 26, 14
2017/2/24, 21, 13
2017/2/25, 25, 16
2017/2/26, 24, 13
2017/2/27, 23, 12
2017/2/28, 25, 17
2017/3/1, 28, 15
2017/3/2, 34, 5
2017/3/3, 33, 3
2017/3/4, 33, 10
2017/3/5, 27, 14
2017/3/6, 19, 13
2017/3/7, 23, 12
2017/3/8, 39, 6
2017/3/9, 37, 20
2017/3/10, 34, 23
2017/3/11, 38, 11
2017/3/12, 29, 10
2017/3/13, 25, 4
2017/3/14, 39, 2
2017/3/15, 41, 3
2017/3/16, 44, 4
2017/3/17, 43, 6
2017/3/18, 42, 10
2017/3/19, 38, 18
2017/3/20, 27, 5
2017/3/21, 35, 10
2017/3/22, 34, 5
2017/3/23, 36, 11
2017/3/24, 34, 6
2017/3/25, 37, 12
2017/3/26, 42, 9
2017/3/27, 39, 27
2017/3/28, 14, 
2017/3/30, 42, 16
2017/3/31, 38, 13
2020/1/1, , 2
2019/10/10, , 7
2019/10/11, , 8
2019/10/12, , 10
2019/10/13, , 12
2019/10/14, , 15
2019/10/15, , 22
2019/10/16, , 22
2019/10/17, , 14
2019/10/18, , 13
2019/10/19, , 12
2019/10/20, , 20
2019/10/21, , 16
2019/10/22, , 9
2019/10/23, , 14
2019/10/24, , 13
2019/10/25, , 17
2019/10/26, , 9
2019/10/27, , 15
2019/10/28, , 15
2019/10/29, , 12
2019/10/30, , 13
2019/10/31, , 12
2019/11/1, , 8
2019/11/2, , 11
2019/11/3, , 12
2019/11/4, , 10
2019/11/5, , 12
2019/11/6, , 17
2019/11/7, , 10
2019/11/8, , 13
2019/11/9, , 11
2019/11/10, , 11
2019/11/11, , 11
2019/11/12, , 15
2019/11/14, , 8
2019/11/15, , 12
2019/11/16, , 10
2019/11/17, , 10
2019/11/20, , 13
2019/11/21, , 6
2019/11/22, , 7
2019/11/23, , 11
2019/11/24, , 17
2019/11/25, , 16
2019/11/26, , 11
2019/11/27, , 21
2019/11/28, , 13
2019/11/29, , 17
2019/11/30, , 19
2019/12/1, , 7
2019/12/2, , 14
2019/12/3, , 13
2019/12/4, , 16
2019/12/5, , 6
2019/12/6, , 8
2019/12/7, , 20
2019/12/8, , 17
2019/12/9, , 18
2019/8/27, , 8
2019/9/19, , 12
2019/9/20, , 11
2019/9/21, , 8
2019/9/22, , 15
2019/9/23, , 26
2019/9/24, , 13
2019/9/26, , 15
2019/9/29, , 23
2018/12/31, , 6
2018/9/30, , 17
2017/12/31, , 21
2018/1/28, , 2
2018/1/30, , 3
2018/1/31, , 11
2018/2/1, , 11
