date, pm25, pm10, no2
2018/2/19, 88, 51, 25
2018/2/20, 118, 55, 20
2018/2/21, 141, 39, 15
2018/2/22, 83, 33, 14
2018/2/23, 73, 26, 11
2018/2/24, 62, 15, 7
2018/2/25, 35, 20, 14
2018/2/26, 45, 21, 15
2018/2/27, 40, 39, 16
2018/2/28, 76, 46, 13
2018/3/1, 84, 53, 18
2018/3/2, 119, 62, 19
2018/3/3, 156, 30, 18
2018/3/4, 78, 17, 19
2018/3/5, 45, 27, 27
2018/3/6, 55, 23, 24
2018/3/7, 59, 16, 14
2018/3/8, 35, 20, 18
2018/3/9, 43, 15, 17
2018/3/10, 40, 15, 16
2018/3/11, 40, 10, 14
2018/3/12, 18, 11, 14
2018/3/13, 27, 24, 19
2018/3/14, 55, 18, 17
2018/3/15, 51, 24, 20
2018/3/16, 65, 21, 7
2018/3/17, 60, 24, 6
2018/3/18, 57, 26, 12
2018/3/19, 50, 19, 17
2018/3/20, 35, 25, 23
2018/3/21, 51, 25, 18
2018/3/22, 62, 23, 13
2018/3/23, 56, 21, 9
2018/3/24, 56, 39, 19
2018/3/25, 96, 38, 24
2018/3/26, 83, 26, 26
2018/3/27, 63, 17, 17
2018/3/28, 44, 18, 13
2018/3/29, 41, 12, 13
2018/3/30, 26, 14, 14
2018/3/31, 37, 25, 13
2017/10/1, 30, 18, 7
2017/10/2, 43, 15, 11
2017/10/3, 34, 17, 11
2017/10/4, 37, 12, 7
2017/10/5, 27, 10, 12
2017/10/6, 20, 13, 10
2017/10/7, 32, 8, 12
2017/10/8, 25, 21, 18
2017/10/9, 57, 15, 11
2017/10/10, 42, 11, 7
2017/10/11, 21, 16, 12
2017/10/12, 35, 16, 14
2017/10/13, 41, 20, 16
2017/10/14, 54, 24, 17
2017/10/15, 63, 29, 14
2017/10/16, 58, 32, 12
2017/10/17, 59, 36, 23
2017/10/18, 75, 27, 23
2017/10/19, 60, 15, 8
2017/10/20, 31, 11, 8
2017/10/21, 26, 9, 6
2017/10/22, 24, 14, 13
2017/10/23, 35, 11, 10
2017/10/24, 33, 17, 12
2017/10/25, 44, 16, 18
2017/10/26, 49, 12, 15
2017/10/27, 27, 15, 13
2017/10/28, 44, 13, 6
2017/10/29, 31, 14, 22
2017/10/30, 26, 20, 20
2017/10/31, 48, 21, 16
2017/11/1, 60, 29, 18
2017/11/2, 72, 40, 21
2017/11/3, 102, 22, 16
2017/11/4, 66, 10, 13
2017/11/5, 34, 15, 26
2017/11/6, 30, 31, 35
2017/11/7, 76, 40, 22
2017/11/8, 97, 38, 18
2017/11/9, 86, 20, 12
2017/11/10, 48, 14, 13
2017/11/11, 34, 14, 13
2017/11/12, 30, 14, 18
2017/11/13, 23, 22, 19
2017/11/14, 48, 24, 16
2017/11/15, 63, 30, 18
2017/11/16, 73, 25, 31
2017/11/17, 40, 21, 18
2017/11/18, 49, 14, 13
2017/11/19, 27, 19, 18
2017/11/20, 51, 20, 13
2017/11/21, 50, 23, 
2017/11/22, 56, 19, 12
2017/11/23, 30, 15, 19
2017/11/24, 30, 12, 16
2017/11/25, 28, 13, 11
