date, no2, so2
2018/1/16, 5, 1
2018/1/17, 8, 1
2018/1/18, 7, 1
2018/1/19, 4, 1
2018/1/20, 8, 1
2018/1/21, 4, 2
2018/1/22, 11, 1
2018/1/23, 9, 1
2018/1/24, 14, 2
2018/1/25, 14, 2
2018/1/26, 16, 2
2018/1/27, 21, 1
2018/1/28, 15, 1
2018/1/29, 16, 
2018/1/30, 17, 
2018/1/31, 11, 
2018/2/1, 3, 
2018/2/2, 3, 
2018/2/3, 5, 
2018/2/4, 17, 
2018/2/5, 10, 
2018/2/6, 9, 
2018/2/7, 10, 
2018/2/8, 12, 
2018/2/9, 13, 2
2018/2/10, 5, 1
2018/2/11, 3, 1
2018/2/12, 9, 1
2018/2/13, 9, 1
2018/2/14, 8, 1
2018/2/15, 7, 1
2018/2/16, 17, 1
2018/2/17, 20, 
2018/2/18, 5, 2
2018/2/19, 18, 1
2018/2/20, 10, 2
2018/2/21, 7, 1
2018/2/22, 6, 1
2018/2/23, 6, 1
2018/2/24, 3, 
2018/2/26, 5, 7
2018/2/27, 8, 4
2018/2/28, 7, 3
2018/3/1, 8, 1
2018/3/2, 16, 1
2018/3/3, 7, 1
2018/3/4, 11, 1
2018/3/5, 12, 1
2018/3/6, 7, 1
2018/3/7, 5, 1
2018/3/8, 10, 1
2018/3/9, 14, 1
2018/3/10, 7, 1
2018/3/11, 2, 1
2018/3/12, 3, 1
2018/3/13, 11, 1
2018/3/14, 14, 1
2018/3/15, 5, 1
2018/3/16, 7, 1
2018/3/17, 6, 1
2018/3/18, 6, 1
2018/3/19, 7, 1
2018/3/20, 6, 1
2018/3/21, 4, 3
2018/3/22, 4, 2
2018/3/23, 4, 1
2018/3/24, 8, 1
2018/3/25, 5, 3
2018/3/26, 5, 1
2018/3/27, 12, 1
2018/3/28, 13, 1
2018/3/29, 8, 1
2018/3/30, 1, 1
2018/3/31, 1, 
2017/10/1, 10, 1
2017/10/2, 11, 1
2017/10/3, 12, 1
2017/10/4, 13, 1
2017/10/5, 12, 1
2017/10/6, 4, 1
2017/10/7, 3, 1
2017/10/8, 10, 1
2017/10/9, 12, 1
2017/10/10, 8, 1
2017/10/11, 17, 1
2017/10/12, 16, 1
2017/10/13, 18, 1
2017/10/14, 19, 1
2017/10/15, 16, 1
2017/10/16, 27, 2
2017/10/17, 27, 1
2017/10/18, 27, 1
2017/10/19, 22, 1
2017/10/20, 17, 1
2017/10/21, 16, 1
2017/10/22, 9, 1
2017/10/23, 3, 1
2017/10/24, 7, 1
2017/10/25, 6, 1
2017/10/26, 16, 1
2017/10/27, 16, 1
2017/10/28, 6, 1
2017/10/29, 5, 1
2017/10/30, 7, 1
2017/10/31, 10, 2
2017/11/1, 9, 1
2017/11/2, 17, 2
2017/11/3, 19, 1
2017/11/4, 11, 2
2017/11/5, 2, 1
2017/11/6, 1, 1
2017/11/7, 7, 1
2017/11/8, 6, 1
2017/11/9, 11, 1
2017/11/10, 9, 1
2017/11/11, 15, 1
2017/11/12, 6, 1
2017/11/23, 12, 
2017/11/24, 20, 
2017/11/25, 6, 
2017/11/26, 2, 
2017/11/27, 4, 
2017/11/28, 14, 
2017/11/29, 3, 
2017/11/30, 9, 
2017/12/1, 10, 3
2017/12/2, 5, 1
2017/12/3, 5, 1
2017/12/4, 13, 
2017/12/5, 14, 
2017/12/6, 17, 
2017/12/7, 18, 
2017/12/8, 9, 
2017/12/9, 5, 
2017/12/10, 3, 
2017/12/11, 2, 
2017/12/12, 2, 
2017/12/13, 14, 
2017/12/14, 6, 
2017/12/15, 3, 
2017/12/16, 12, 1
2017/12/17, 2, 
2017/12/18, 6, 1
2017/12/19, 7, 1
2017/12/20, 6, 1
2017/12/21, 7, 1
2017/12/22, 9, 1
2017/12/23, 9, 1
2017/12/24, 17, 1
2017/12/25, 16, 1
2017/12/26, 7, 1
2017/12/27, 2, 1
2017/12/28, 3, 1
2017/12/29, 4, 1
2017/12/30, 11, 
2017/7/1, 11, 
2017/7/2, 7, 
2017/7/3, 5, 
2017/7/4, 7, 1
2017/7/5, 9, 
2017/7/6, 11, 
2017/7/7, 18, 
2017/7/8, 22, 
2017/7/9, 21, 
2017/7/10, 16, 
2017/7/11, 15, 
2017/7/12, 14, 
2017/7/13, 16, 1
2017/7/14, 8, 1
2017/7/15, 4, 
2017/7/16, 2, 
2017/7/17, 5, 2
2017/7/18, 13, 1
2017/7/19, 17, 
2017/7/20, 16, 
2017/7/21, 20, 
2017/7/22, 14, 
2017/7/23, 17, 
2017/7/24, 9, 
2017/7/25, 8, 
2017/7/26, 6, 
2017/7/27, 10, 
2017/7/28, 13, 
2017/7/29, 19, 
2017/7/30, 23, 
2017/7/31, 21, 
2017/8/1, 18, 
2017/8/2, 18, 
2017/8/3, 17, 
2017/8/4, 26, 
2017/8/5, 41, 
2017/8/6, 22, 
2017/8/7, 10, 
2017/8/8, 17, 
2017/8/9, 24, 
2017/8/10, 23, 
2017/8/11, 14, 
2017/8/12, 9, 
2017/8/13, 2, 
2017/8/14, 5, 
2017/8/15, 7, 1
2017/8/16, 15, 2
2017/8/17, 16, 3
2017/8/18, 19, 1
2017/8/19, 27, 1
2017/8/20, 12, 
2017/8/21, 4, 1
2017/8/22, 9, 2
2017/8/23, 13, 1
2017/8/24, 23, 1
2017/8/25, 28, 1
2017/8/26, 23, 
2017/8/27, 25, 
2017/8/28, 14, 
2017/8/29, 7, 2
2017/8/30, 9, 1
2017/8/31, 17, 
2017/9/1, 22, 
2017/9/2, 8, 
2017/9/3, 5, 
2017/9/4, 7, 1
2017/9/5, 11, 1
2017/9/6, 9, 
2017/9/11, 3, 
2017/9/12, 7, 
2017/9/13, 11, 
2017/9/14, 8, 
2017/9/15, 7, 
2017/9/16, 1, 1
2017/9/17, 9, 1
2017/9/18, 12, 1
2017/9/19, 13, 1
2017/9/20, 10, 1
2017/9/21, 10, 1
2017/9/22, 10, 1
2017/9/23, 10, 1
2017/9/24, 12, 1
2017/9/25, 13, 1
2017/9/26, 10, 1
2017/9/27, 9, 2
2017/9/28, 5, 3
2017/9/29, 6, 4
2017/9/30, 7, 2
2017/4/3, 15, 1
2017/4/4, 9, 1
2017/4/5, 15, 1
2017/4/6, 20, 1
2017/4/7, 7, 1
2017/4/8, 13, 1
2017/4/9, 10, 
2017/4/10, 13, 1
2017/4/11, 21, 1
2017/4/12, 9, 1
2017/4/13, 15, 1
2017/4/14, 16, 1
2017/4/15, 10, 1
2017/4/16, 5, 1
2017/4/17, 6, 1
2017/4/18, 5, 1
2017/4/19, 3, 1
2017/4/20, 4, 1
2017/4/21, 4, 1
2017/4/22, 7, 1
2017/4/23, 23, 1
2017/4/24, 8, 1
2017/4/25, 2, 1
2017/4/26, 1, 1
2017/4/27, 1, 1
2017/4/28, 2, 1
2017/4/29, 6, 1
2017/4/30, 9, 1
2017/5/1, 12, 1
2017/5/2, 16, 1
2017/5/3, 16, 1
2017/5/4, 16, 1
2017/5/5, 11, 1
2017/5/6, 10, 1
2017/5/7, 6, 1
2017/5/8, 10, 1
2017/5/9, 9, 1
2017/5/10, 5, 1
2017/5/11, 4, 1
2017/5/12, 2, 1
2017/5/13, 7, 
2017/5/15, 16, 1
2017/5/16, 5, 1
2017/5/17, 5, 2
2017/5/18, 10, 1
2017/5/19, 18, 1
2017/5/20, 11, 1
2017/5/21, 4, 1
2017/5/22, 8, 2
2017/5/23, 14, 3
2017/5/24, 16, 1
2017/5/25, 10, 
2017/5/26, 6, 
2017/5/27, 2, 
2017/5/29, 11, 
2017/5/30, 14, 
2017/5/31, 10, 
2017/6/1, 18, 
2017/6/2, 11, 
2017/6/3, 11, 
2017/6/4, 13, 
2017/6/5, 11, 
2017/6/6, 5, 
2017/6/7, 9, 
2017/6/8, 6, 1
2017/6/9, 8, 
