date, pm25, o3, so2, co
2018/6/13, 28, 30, 4, 
2018/6/14, 31, 39, 3, 
2018/6/15, 50, 33, 1, 
2018/6/16, 54, 24, , 
2018/6/17, 42, , , 
2018/6/19, 30, 27, 1, 
2018/6/20, 32, 30, 2, 
2018/6/21, 28, 30, , 
2018/6/22, 45, 35, , 
2018/6/23, 49, 37, 2, 
2018/6/24, 51, 35, 1, 
2018/6/25, 39, 36, 2, 
2018/6/26, 24, 38, 1, 
2018/6/27, 21, 37, 1, 
2018/6/28, 36, 36, 2, 
2018/6/29, 41, 33, 1, 
2018/6/30, 46, 34, 2, 
2018/1/1, 18, , , 
2018/1/2, 38, , , 
2018/1/3, 23, , , 
2018/1/4, 34, , , 
2018/1/5, 31, , 2, 
2018/1/6, 38, , 1, 
2018/1/7, 43, , , 
2018/1/8, 51, , , 
2018/1/9, 56, , , 
2018/1/10, 40, , , 
2018/1/11, 16, , , 
2018/1/12, 13, , , 
2018/1/13, 24, , , 
2018/1/14, 39, , , 
2018/1/15, 27, , , 
2018/1/16, 23, , , 
2018/1/17, 36, , , 
2018/1/18, 43, , , 
2018/1/19, 39, , , 
2018/1/20, 44, , , 
2018/1/21, 59, , , 
2018/1/22, 17, , , 
2018/1/23, 21, , , 
2018/1/24, 35, , 1, 
2018/1/25, 47, , 1, 
2018/1/26, 27, , , 
2018/1/27, 17, , , 
2018/1/28, 39, , , 
2018/1/29, 18, , , 
2018/1/30, 36, , 4, 
2018/1/31, 26, , , 
2018/2/1, 15, , , 
2018/2/2, 14, , 1, 
2018/2/3, 31, , , 
2018/2/4, 23, , , 
2018/2/5, 25, , 1, 
2018/2/6, 54, , , 
2018/2/7, 52, , 2, 
2018/2/8, 66, , , 
2018/2/9, 44, , , 
2018/2/10, 29, , , 
2018/2/11, 35, , , 
2018/2/12, 43, , 1, 
2018/2/13, 74, , , 
2018/2/14, 61, , , 
2018/2/15, 53, , , 
2018/2/16, 25, , , 
2018/2/17, 29, , , 
2018/2/18, 31, , , 
2018/2/19, 26, , , 
2018/2/20, 26, , , 
2018/2/21, 17, , , 
2018/2/22, 28, , , 
2018/2/23, 42, , , 
2018/2/24, 44, , , 
2018/2/25, 26, , , 
2018/2/26, 25, , 1, 
2018/2/27, 23, 30, , 
2018/2/28, 48, 36, , 
2018/3/1, 39, 31, 2, 
2018/3/2, 35, 33, 1, 
2018/3/3, 23, 32, 2, 
2018/3/4, 25, 24, , 
2018/3/5, 12, 31, , 
2018/3/6, 14, 36, , 
2018/3/7, 24, 35, , 
2018/3/8, 20, 33, 1, 
2018/3/9, 37, 30, 2, 
2018/3/10, 36, 36, , 
2018/3/11, 39, 37, , 
2018/3/12, 31, 36, , 
2018/3/13, 20, 34, , 
2018/3/14, 27, 38, , 
2018/3/15, 31, 29, , 
2018/3/16, 28, 28, , 
2018/3/17, 41, 33, , 
2018/3/18, 46, 37, , 
2018/3/19, 41, 32, , 
2018/3/20, 13, 35, , 
2018/3/21, 27, 32, , 
2018/3/22, 43, 32, , 
2018/3/23, 45, 33, , 
2018/3/24, 19, 38, , 
2018/3/25, 27, 26, 3, 
2018/3/26, 38, 30, , 
2018/3/27, 52, 3, 6, 
2018/3/28, 61, 33, , 
2018/3/29, 44, 33, 2, 
2018/3/30, 23, 33, 3, 
2018/3/31, 22, 32, , 
2017/10/1, 29, 39, 3, 
2017/10/2, 44, 26, , 
2017/10/3, 29, 21, , 
2017/10/4, 13, 21, 1, 
2017/10/5, 18, 15, , 
2017/10/6, 33, 20, , 
2017/10/7, 36, 33, , 
2017/10/8, 23, 27, , 
2017/10/9, 18, 17, , 
2017/10/10, 15, 14, , 
2017/10/11, 17, 18, , 
2017/10/12, 17, 14, , 
2017/10/13, 24, 14, , 
2017/10/14, 29, 24, , 
2017/10/15, 25, 26, , 
2017/10/16, 21, 31, , 
2017/10/17, 16, 36, , 
2017/10/18, 22, 32, 2, 
2017/10/19, 29, 37, , 
2017/10/20, 44, 29, , 
2017/10/21, 34, 17, , 
2017/10/22, 18, 23, , 
2017/10/23, 15, 25, , 
2017/10/24, 12, 22, , 
2017/10/25, 25, 26, 1, 
2017/10/26, 25, 21, , 
2017/10/27, 9, 26, , 
2017/10/28, 15, 20, 1, 
2017/10/29, 25, 19, , 
2017/10/30, 15, 23, , 
2017/10/31, 12, 13, , 
2017/11/1, 29, , , 
2017/11/2, 43, , , 
2017/11/3, 36, , , 
2017/11/4, 29, , , 
2017/11/5, 30, , , 
2017/11/6, 27, , , 
2017/11/7, 29, , , 
2017/11/8, 39, , , 
2017/11/9, 24, , 1, 
2017/11/10, 21, , , 
2017/11/11, 29, , , 
2017/11/12, 59, , , 
2017/11/13, 61, , , 
2017/11/14, 53, , , 
2017/11/15, 30, , , 
2017/11/16, 27, , , 
2017/11/17, 63, , , 
2017/11/18, 30, , , 
2017/11/19, 36, , , 
2017/11/20, 16, , , 
2017/11/21, 23, , , 
2017/11/22, 20, , , 
2017/11/23, 30, , , 
2017/11/24, 20, , , 
2017/11/25, 16, , , 
2017/11/26, 30, , , 
2017/11/27, 43, , , 
2017/11/28, 25, , 6, 
2017/11/29, 21, , , 
2017/11/30, 23, , 1, 
2017/12/1, 29, , , 
2017/12/2, 50, , 2, 
2017/12/3, 72, , , 
2017/12/4, 43, , , 
2017/12/5, 14, , , 
2017/12/6, 20, , , 
2017/12/7, 13, , , 
