date, pm25, o3, no2, so2
2018/7/19, 30, 21, 3, 
2018/7/20, 33, 18, 1, 
2018/7/21, 13, 16, 2, 
2018/7/22, 17, 17, 3, 
2018/7/23, 18, 13, 3, 
2018/7/24, 9, 15, 4, 
2018/7/25, 13, 18, 4, 
2018/7/26, 38, 19, 3, 
2018/7/27, 50, 17, 3, 
2018/7/28, 34, 17, 2, 
2018/7/29, 36, 16, 3, 
2018/7/30, 31, 11, 3, 
2018/7/31, 10, 15, 2, 
2018/8/1, 14, 11, 2, 
2018/8/2, 10, 10, 2, 
2018/8/3, 9, 19, 2, 
2018/8/4, 24, 19, 3, 
2018/8/5, 44, 23, 2, 
2018/8/6, 49, 15, 4, 
2018/8/7, 30, 14, 3, 
2018/8/8, 26, 18, 3, 
2018/8/9, 30, 23, 4, 
2018/8/10, 34, 17, 3, 
2018/8/11, 38, 16, 2, 
2018/8/12, 38, 13, 3, 
2018/8/13, 20, 15, 3, 
2018/8/14, 29, 19, 4, 
2018/8/15, 42, 17, 4, 
2018/8/16, 50, 16, 4, 
2018/8/17, 60, 12, 3, 
2018/8/18, 27, 13, 2, 
2018/8/19, 30, 9, 2, 
2018/8/20, 13, 12, 2, 
2018/8/21, 15, 17, 2, 
2018/8/22, 32, 13, 4, 
2018/8/23, 30, 16, 3, 
2018/8/24, 26, 18, 2, 
2018/8/25, 24, 15, 2, 
2018/8/26, 42, 15, 4, 
2018/8/27, 57, 17, 4, 
2018/8/28, 46, 18, 4, 
2018/8/29, 42, 14, 4, 
2018/8/30, 25, 17, 3, 
2018/8/31, 21, 13, 2, 
2018/9/1, 22, 13, 2, 
2018/9/2, 24, 13, 3, 
2018/9/3, 31, 14, 3, 
2018/9/4, 31, 17, 3, 
2018/9/5, 33, 19, 4, 
2018/9/6, 22, 16, 5, 
2018/9/7, 20, 9, 2, 
2018/9/8, 7, 8, 2, 
2018/9/9, 2, 6, 3, 
2018/9/10, 9, 4, 3, 
2018/9/11, 12, 7, 3, 
2018/9/12, 7, 7, 3, 
2018/9/13, 7, 6, 2, 
2018/9/14, 4, 5, 2, 
2018/9/15, 5, 8, 2, 
2018/9/16, 5, 10, 2, 
2018/9/17, 3, 13, 3, 
2018/9/26, 12, 8, 4, 
2018/9/27, 6, 15, 3, 
2018/9/28, 9, 15, 3, 
2018/9/29, 13, 12, 2, 
2018/9/30, 21, 14, 2, 
2018/5/8, 23, 22, 4, 
2018/5/9, 23, 23, 3, 
2018/5/10, 32, 20, 4, 
2018/5/11, 28, 24, 4, 
2018/5/12, 39, 22, 3, 
2018/5/13, 35, 19, 4, 
2018/5/14, 43, 17, 3, 
2018/5/23, 22, 18, 4, 
2018/5/24, 25, 21, 5, 
2018/5/25, 29, 20, 3, 
2018/5/26, 22, 14, 2, 
2018/5/27, 22, 16, 2, 
2018/5/28, 13, 10, 3, 
2018/5/29, 13, 11, 2, 
2018/5/30, 10, 10, 2, 
2018/5/31, 17, 14, 3, 
2018/6/1, 22, 18, 3, 
2018/6/2, 26, 15, 3, 
2018/6/3, 4, 9, 3, 
2018/6/4, 19, 18, 2, 
2018/6/5, 18, 22, 4, 
2018/6/6, 30, 15, 5, 
2018/6/7, 33, 20, 3, 
2018/6/8, 36, 23, 5, 
2018/6/9, 43, 22, 3, 
2018/6/10, 28, 17, 2, 
2018/6/11, 12, 9, 3, 
2018/6/12, 14, 15, 2, 
2018/6/13, 23, 13, 3, 
2018/6/14, 18, 19, 3, 
2018/6/15, 30, 24, 5, 
2018/6/16, 27, 26, 3, 
2018/6/17, 42, 20, 4, 
2018/6/18, 51, 22, 3, 
2018/6/19, 37, 17, 4, 
2018/6/20, 21, 15, 3, 
2018/6/21, 22, 15, 3, 
2018/6/22, 4, 16, 2, 
2018/6/23, 13, 14, 2, 
2018/6/24, 23, 15, 3, 
2018/6/25, 26, 17, 4, 
2018/6/26, 23, 15, 4, 
2018/6/27, 16, 14, 1, 
2018/6/28, 19, 19, 3, 
2018/6/29, 35, 22, 5, 
2018/6/30, 43, 21, 3, 
2019/12/31, , 17, 4, 
2019/10/6, , 13, 1, 
2019/6/30, , 18, 4, 
2019/4/5, , 18, 3, 
2019/6/27, , 20, 3, 
2018/12/31, , 14, 1, 
2018/11/5, , 10, 3, 
2018/11/16, , 10, 6, 
2018/11/17, , 12, 3, 
2018/11/18, , 11, 6, 
2018/9/18, , 16, 5, 
2018/9/19, , 16, 4, 
2018/9/20, , 16, 1, 
2018/9/21, , 11, 3, 
2018/9/22, , 5, 2, 
2018/9/23, , 5, 2, 
2018/9/24, , 7, 3, 
2018/9/25, , 10, 3, 
2018/4/1, , 18, 3, 
2018/4/2, , 15, 3, 
2018/4/3, , 13, 2, 
2018/4/4, , 19, 1, 
2018/4/5, , 19, 3, 
2018/4/6, , 22, 5, 
2018/4/7, , 19, 2, 
2018/4/8, , 20, 5, 
2018/4/9, , 16, 3, 
2018/4/10, , 20, , 
2018/4/11, , 19, , 
2018/4/12, , 22, , 
2018/4/13, , 25, , 
2018/4/14, , 21, , 
2018/4/15, , 17, 1, 
2018/4/16, , 14, 1, 
2018/4/17, , 19, 2, 
2018/4/18, , 20, 8, 
2018/4/19, , 18, 5, 
2018/4/20, , 22, 5, 
2018/4/21, , 22, 7, 
2018/4/22, , 22, 5, 
2018/4/23, , 23, 3, 
2018/4/24, , 19, 3, 
2018/4/25, , 16, 2, 
2018/4/26, , 21, 5, 
2018/4/27, , 19, 4, 
2018/4/28, , 23, 2, 
2018/4/29, , 19, 2, 
2018/4/30, , 21, 5, 
2018/5/1, , 25, 7, 
2018/5/2, , 24, 6, 
2018/5/3, , 23, 4, 
2018/5/4, , 21, 3, 
2018/5/5, , 16, 4, 
2018/5/6, , 15, 3, 
2018/5/7, , 20, 4, 
2018/5/15, , 20, 3, 
2018/5/16, , 14, 3, 
2018/5/17, , 9, 3, 
2018/5/18, , 11, 3, 
2018/5/19, , 9, 2, 
2018/5/20, , 19, 2, 
2018/5/21, , 18, 3, 
2018/5/22, , 14, 3, 
2018/1/1, , 15, 7, 
2018/1/2, , 13, 9, 
2018/1/3, , 11, 2, 
2018/1/4, , 14, 1, 
2018/1/5, , 14, 4, 
2018/1/6, , 14, 5, 
2018/1/7, , 14, 3, 
2018/1/8, , 12, 7, 
2018/1/9, , 8, 6, 
2018/1/10, , 11, 4, 
2018/1/11, , 12, 2, 
2018/1/12, , 10, 1, 
2018/1/13, , 15, 5, 
2018/1/14, , 13, 7, 
2018/1/15, , 12, 8, 
2018/1/16, , 9, 5, 
2018/1/17, , 11, 8, 
2018/1/18, , 13, 7, 
2018/1/19, , 15, 5, 
2018/1/20, , 15, 3, 
2018/1/21, , 14, 3, 
2018/1/22, , 15, 1, 
2018/1/23, , 15, 1, 
2018/1/24, , 10, 4, 
2018/1/25, , 12, 5, 
2018/1/26, , 14, 2, 
2018/1/27, , 16, 3, 
2018/1/28, , 12, 5, 
2018/1/29, , 10, 3, 
2018/1/30, , 14, 5, 
2018/1/31, , 13, 5, 
2018/2/1, , 14, 2, 
2018/2/2, , 14, 3, 
2018/2/3, , 14, 4, 
2018/2/4, , 13, 5, 
2018/2/5, , 15, 7, 
2018/2/6, , 10, 6, 
2018/2/7, , 6, 4, 
2018/2/8, , 17, 6, 
2018/2/9, , 14, 4, 
2018/2/10, , 11, 2, 
2018/2/11, , 8, 5, 
2018/2/12, , 14, 6, 
2018/2/13, , 14, 4, 
2018/2/14, , 11, 2, 
2018/2/15, , 10, 3, 
2018/2/16, , 14, 4, 
2018/2/17, , 12, 3, 
2018/2/18, , 14, 2, 
2018/2/19, , 12, 2, 
2018/2/20, , 13, 3, 
2018/2/21, , 10, 4, 
2018/2/22, , 7, 3, 
2018/2/23, , 6, 3, 
2018/2/24, , 6, 3, 
2018/2/25, , 9, 5, 
2018/2/26, , 12, 5, 
2018/2/27, , 17, 3, 
2018/2/28, , 16, 6, 
2018/3/1, , 11, 1, 
2018/3/2, , 17, 2, 
2018/3/3, , 18, 3, 
2018/3/4, , 18, 7, 
2018/3/5, , 16, 5, 
2018/3/6, , 16, 3, 
2018/3/7, , 15, 4, 
2018/3/8, , 17, 3, 
2018/3/9, , 17, 8, 
