date, pm25, pm10, no2, so2, co
2019/1/26, 34, 19, 1, , 2
2019/1/27, 30, 16, 2, , 2
2019/1/28, 26, 18, 1, , 2
2019/1/29, 32, 19, 3, , 3
2019/1/30, 31, 18, 1, , 2
2019/1/31, 29, 21, 5, , 2
2019/2/1, 36, 14, 2, , 2
2019/2/2, 26, 19, , , 2
2019/2/3, 27, 18, 3, , 2
2019/2/4, 28, 21, 3, , 2
2019/2/5, 37, 18, 1, , 1
2019/2/6, 33, 15, 2, , 1
2019/2/7, 27, 19, 1, , 2
2019/2/8, 27, 19, 2, , 2
2019/2/9, 31, 19, 2, , 2
2019/2/10, 31, 21, 1, , 2
2019/2/11, 32, 30, 2, , 2
2019/2/12, 34, 17, 1, , 2
2019/2/13, 33, 17, 1, , 2
2019/2/14, 27, 12, 2, , 3
2019/2/15, 17, 10, 1, , 3
2019/2/16, 18, 13, 1, , 3
2019/2/17, 21, 14, 3, , 3
2019/2/18, 24, 14, 3, , 3
2019/2/19, 25, 17, 2, , 3
2019/2/20, 25, 16, 1, , 3
2019/2/21, 25, 18, 1, , 3
2019/2/22, 23, 14, 2, , 3
2019/2/23, 21, 7, 1, , 3
2019/2/24, 14, 5, 2, , 3
2019/2/25, 11, 12, 2, , 3
2019/2/26, 21, 10, 3, , 4
2019/2/27, 15, 8, 3, , 3
2019/2/28, 16, 7, 5, , 4
2019/3/1, 17, 13, 3, , 4
2019/3/2, 24, 11, 2, , 3
2019/3/3, 22, 13, 3, 46, 4
2019/3/4, 26, 17, 4, , 4
2019/3/5, 23, 17, 1, , 3
2019/3/6, 24, 13, 3, , 4
2019/3/7, 20, 10, 4, , 4
2019/3/8, 24, 9, 3, , 4
2019/3/9, 20, 7, 2, , 4
2019/3/10, 16, 7, 2, , 4
2019/3/11, 15, 12, 3, , 4
2019/3/12, 21, 14, 7, , 5
2019/3/13, 28, 17, 3, , 3
2019/3/14, 24, 15, 4, , 4
2019/3/15, 32, 8, 2, , 4
2019/3/16, 21, 10, 2, , 4
2019/3/17, 21, 8, 1, , 4
2019/3/18, 14, 8, 3, , 4
2019/3/19, 18, 8, 1, , 4
2019/3/20, 17, 9, 1, , 4
2019/3/21, 14, 7, 1, , 4
2019/3/22, 10, 14, , , 
2019/3/23, 35, 9, 1, , 4
2019/3/24, 22, 11, 3, , 5
2019/3/25, 21, 7, 1, , 4
2019/3/26, 19, 9, 4, , 3
2019/3/27, 19, 14, 3, , 
2019/3/28, 24, 13, 4, , 1
2019/3/29, 24, 14, , , 
2019/3/30, 13, 16, 1, , 1
2019/3/31, 27, 8, 2, , 1
2018/10/1, 40, 13, , , 6
2018/10/2, 38, 12, , , 5
2018/10/3, 27, 13, , , 6
2018/10/4, 30, 11, , , 5
2018/10/5, 23, 13, , , 6
2018/10/6, 31, 11, , , 5
2018/10/7, 27, 14, , , 5
2018/10/8, 30, 14, , , 6
2018/10/9, 31, 17, , , 6
2018/10/10, 31, 9, , , 6
2018/10/11, 32, 8, , , 6
2018/10/12, 22, 12, , , 6
2018/10/13, 33, 18, , , 6
2018/10/14, 41, 22, , , 6
2018/10/15, 48, 16, , , 4
2018/10/16, 33, 13, , , 2
2018/10/17, 35, 16, , , 1
2018/10/18, 35, 16, , , 1
2018/10/19, 29, 19, , , 2
2018/10/20, 45, 20, , , 1
2018/10/21, 48, 15, , , 1
2018/10/22, 34, 12, , , 1
2018/10/23, 26, 15, , , 2
2018/10/24, 35, 15, , , 2
2018/10/25, 39, 9, , , 1
2018/10/26, 27, 10, , , 2
2018/10/27, 26, 12, , , 1
2018/10/28, 33, 11, , , 1
2018/10/29, 29, 7, , , 1
2018/10/30, 21, 16, , , 1
2018/10/31, 28, 10, , , 1
2018/11/1, 23, 15, , , 2
2018/11/2, 31, 12, , 3, 1
2018/11/3, 25, 6, , 2, 1
2018/11/4, 15, 11, , 1, 1
2018/11/5, 21, 18, , 1, 2
2018/11/6, 34, 15, , , 2
