date, pm25, no2, so2
2017/8/8, 22, , 
2017/8/9, 59, , 
2017/8/10, 45, , 
2017/8/11, 37, , 
2017/8/12, 38, , 
2017/8/13, 47, , 
2017/8/14, 56, , 
2017/8/15, 41, , 
2017/8/16, 42, , 
2017/8/17, 53, , 
2017/8/18, 49, , 
2017/8/19, 39, , 
2017/8/20, 39, , 
2017/8/21, 37, , 
2017/8/22, 36, , 
2017/8/23, 46, , 
2017/8/24, 46, , 
2017/8/25, 36, , 
2017/8/26, 29, , 
2017/8/27, 10, , 
2017/8/28, 29, , 
2017/8/29, 38, , 
2017/8/30, 45, , 
2017/8/31, 49, , 
2017/9/1, 61, , 
2017/9/2, 65, , 
2017/9/3, 62, , 
2017/9/4, 48, , 
2017/9/9, 63, , 
2017/9/10, 45, , 
2017/9/11, 52, , 
2017/9/12, 56, , 
2017/9/13, 60, , 
2017/9/14, 55, , 
2017/9/15, 50, , 
2017/9/16, 42, , 
2017/9/17, 42, , 
2017/9/18, 39, , 
2017/9/19, 43, , 
2017/9/20, 38, , 
2017/9/21, 44, , 
2017/9/22, 37, , 
2017/9/23, 43, , 
2017/9/24, 47, , 
2017/9/25, 37, , 
2017/9/26, 28, , 
2017/9/27, 33, , 
2017/9/28, 46, , 
2017/9/29, 47, , 
2017/9/30, 54, , 
2017/5/12, 17, , 
2017/5/13, 34, , 
2017/5/14, 36, , 
2017/5/15, 28, , 
2017/5/16, 26, , 
2017/5/17, 37, , 
2017/5/18, 58, , 
2017/5/19, 37, , 
2017/5/20, 30, , 
2017/5/21, 21, , 
2017/5/22, 15, , 
2017/5/23, 29, , 
2017/5/24, 15, , 
2017/5/25, 29, , 
2017/5/26, 45, , 
2017/5/27, 88, , 
2017/5/28, 58, , 
2017/5/29, 23, , 
2017/5/30, 43, , 
2017/5/31, 47, , 
2017/6/1, 26, , 
2017/6/2, 37, , 
2017/6/3, 21, , 
2017/6/4, 20, , 
2017/6/5, 19, , 
2017/6/6, 23, , 
2017/6/7, 38, , 
2017/6/8, 57, , 
2017/6/9, 48, , 
2017/6/10, 30, , 
2017/6/11, 28, , 
2017/6/13, 35, , 
2017/6/14, 40, , 
2017/6/15, 44, , 
2017/6/16, 36, , 
2017/6/17, 30, , 
2017/6/18, 28, , 
2017/6/19, 27, , 
2017/6/20, 45, , 
2017/6/21, 34, , 
2017/6/22, 27, , 
2017/6/23, 41, , 
2017/6/24, 49, , 
2017/6/25, 35, , 
2017/6/26, 29, , 
2017/6/27, 32, , 
2017/6/28, 22, , 
2017/6/29, 28, , 
2017/6/30, 50, , 
