date, pm25, pm10, so2, co
2018/7/7, 15, , , 3
2018/7/8, 29, , , 3
2018/7/9, 32, , , 3
2018/7/10, 49, , , 2
2018/7/11, 40, , , 2
2018/7/12, 31, , , 4
2018/7/13, 44, , , 3
2018/7/14, 33, , , 3
2018/7/15, 38, , , 4
2018/7/16, 58, , , 3
2018/7/17, 44, , , 1
2018/7/18, 28, , , 2
2018/7/19, 25, , , 3
2018/7/20, 33, , , 2
2018/7/21, 25, , , 1
2018/7/22, 32, , , 2
2018/7/23, 41, , , 2
2018/7/24, 34, , , 2
2018/7/25, 25, , , 3
2018/7/26, 30, , , 4
2018/7/27, 50, , , 3
2018/7/28, 36, , , 2
2018/7/29, 32, , , 3
2018/7/30, 37, , , 3
2018/7/31, 36, , , 2
2018/8/1, 37, , , 3
2018/8/2, 39, , , 3
2018/8/3, 39, , , 2
2018/8/4, 21, , , 3
2018/8/5, 31, , , 4
2018/8/6, 59, , , 4
2018/8/7, 60, , , 3
2018/8/8, 46, , , 2
2018/8/13, 16, , , 3
2018/8/14, 35, , , 2
2018/8/15, 33, , 1, 3
2018/8/16, 67, , , 4
2018/8/17, 74, , , 3
2018/8/18, 35, , , 2
2018/8/19, 20, , , 2
2018/8/20, 25, , , 2
2018/8/21, 22, , , 2
2018/8/22, 28, , , 2
2018/8/23, 29, , , 4
2018/8/24, 43, , , 4
2018/8/25, 38, , , 3
2018/8/26, 37, , 1, 4
2018/8/27, 60, , , 5
2018/8/28, 76, , , 4
2018/8/29, 68, , , 2
2018/8/30, 42, , , 2
2018/8/31, 23, , , 3
2018/9/1, 27, , , 4
2018/9/2, 29, , 1, 4
2018/9/3, 43, , , 3
2018/9/4, 32, , 1, 3
2018/9/5, 42, , , 3
2018/9/6, 51, , , 2
2018/9/7, 22, , , 2
2018/9/8, 23, , , 1
2018/9/9, 15, , , 1
2018/9/10, 12, , , 3
2018/9/11, 21, , , 3
2018/9/12, 22, , , 2
2018/9/13, 16, , , 2
2018/9/14, 20, , , 4
2018/9/15, 24, , , 4
2018/9/16, 31, , , 3
2018/9/17, 24, , , 2
2018/9/18, 21, , , 2
2018/9/19, 25, , , 2
2018/9/20, 14, , , 2
2018/9/21, 15, , , 1
2018/9/22, 19, , , 2
2018/9/23, 19, , , 2
2018/9/24, 20, , , 2
2018/9/25, 18, , , 3
2018/9/26, 23, , , 2
2018/9/27, 13, , , 1
2018/4/1, 20, , , 2
2018/4/2, 23, , , 5
2018/4/3, 49, , , 3
2018/4/4, 22, , , 1
2018/4/5, 12, , , 4
2018/4/6, 39, , , 2
2018/4/7, 15, , , 1
2018/4/8, 13, , , 2
2018/4/9, 18, , , 3
2018/4/10, 51, , , 4
2018/4/11, 39, , , 3
2018/4/12, 57, , , 4
2018/4/13, 61, , , 3
2018/4/14, 61, , , 2
2018/4/15, 23, , , 2
2018/4/16, 27, , , 2
2018/4/17, 8, , , 2
2018/4/18, 16, , , 2
2018/4/19, 18, , , 1
2018/4/20, 10, , , 1
2018/4/21, 17, , , 2
2018/4/22, 18, , , 3
2018/4/23, 26, , , 3
2018/4/24, 29, , , 2
2018/4/25, 22, , , 2
2018/4/26, 18, , , 3
2018/4/27, 25, , , 4
2018/4/28, 43, , , 1
