date, pm25, no2
2017/12/14, 34, 20
2017/12/15, 30, 24
2017/12/16, 55, 29
2017/12/17, 74, 29
2017/12/18, 73, 26
2017/12/19, 44, 22
2017/12/20, 43, 24
2017/12/21, 38, 26
2017/12/22, 53, 16
2017/12/23, 39, 7
2017/12/24, 24, 5
2017/12/25, 24, 7
2017/12/26, 18, 9
2017/12/27, 32, 8
2017/12/28, 28, 17
2017/12/29, 43, 12
2017/12/30, 59, 6
2017/12/31, 29, 10
2017/7/1, 21, 6
2017/7/2, 28, 10
2017/7/3, 35, 6
2017/7/4, 46, 8
2017/7/5, 44, 7
2017/7/6, 20, 7
2017/7/7, 15, 3
2017/7/8, 15, 4
2017/7/9, 21, 12
2017/7/10, 32, 10
2017/7/11, 33, 9
2017/7/12, 38, 12
2017/7/13, 43, 13
2017/7/14, 40, 7
2017/7/15, 26, 5
2017/7/16, 27, 10
2017/7/17, 34, 9
2017/7/18, 31, 13
2017/7/19, 48, 9
2017/7/20, 60, 9
2017/7/21, 46, 6
2017/7/22, 40, 6
2017/7/23, 22, 7
2017/7/24, 14, 5
2017/7/25, 15, 6
2017/7/26, 15, 11
2017/7/27, 30, 11
2017/7/28, 41, 4
2017/7/29, 23, 8
2017/7/30, 19, 13
2017/7/31, 34, 13
2017/8/1, 43, 20
2017/8/2, 53, 13
2017/8/3, 45, 9
2017/8/4, 44, 3
2017/8/5, 17, 6
2017/8/6, 24, 10
2017/8/7, 19, 9
2017/8/8, 24, 14
2017/8/9, 31, 14
2017/8/10, 39, 10
2017/8/11, 23, 10
2017/8/12, 31, 8
2017/8/13, 29, 15
2017/8/14, 44, 15
2017/8/15, 29, 12
2017/8/16, 37, 15
2017/8/17, 49, 9
2017/8/18, 40, 4
2017/8/19, 22, 6
2017/8/20, 28, 18
2017/8/21, 42, 13
2017/8/22, 49, 7
2017/8/23, 26, 12
2017/8/24, 31, 8
2017/8/25, 30, 9
2017/8/26, 28, 7
2017/8/27, 32, 7
2017/8/28, 33, 8
2017/8/29, 19, 8
2017/8/30, 31, 9
2017/8/31, 36, 7
2017/9/1, 24, 8
2017/9/2, 16, 4
2017/9/3, 18, 6
2017/9/4, 44, 
2017/9/9, 15, 6
2017/9/10, 18, 13
2017/9/11, 20, 16
2017/9/12, 26, 18
2017/9/13, 38, 13
2017/9/14, 33, 15
2017/9/15, 27, 13
2017/9/16, 34, 9
2017/9/17, 31, 8
2017/9/18, 31, 6
2017/9/19, 41, 11
2017/9/20, 30, 15
2017/9/21, 30, 13
2017/9/22, 29, 10
2017/9/23, 28, 14
2017/9/24, 33, 17
2017/9/25, 37, 11
2017/9/26, 18, 9
2017/9/27, 16, 10
2017/9/28, 27, 10
2017/9/29, 14, 3
2017/9/30, 18, 8
2017/4/1, 26, 5
2017/4/2, 22, 20
2017/4/3, 36, 8
2017/4/4, 21, 7
2017/4/5, 19, 9
2017/4/6, 22, 4
2017/4/7, 13, 6
2017/4/8, 16, 18
2017/4/9, 32, 23
2017/4/10, 48, 26
2017/4/11, 61, 15
2017/4/12, 40, 9
2017/4/13, 24, 16
2017/4/14, 26, 
2017/4/17, 23, 12
2017/4/18, 27, 6
2017/4/19, 25, 11
2017/4/20, 31, 10
2017/4/21, 55, 9
2017/4/22, 55, 5
2017/4/23, 22, 10
2017/4/24, 25, 7
2017/4/25, 14, 13
2017/4/26, 22, 15
2017/4/27, 53, 17
2017/4/28, 55, 15
2017/4/29, 42, 10
2017/4/30, 40, 8
2017/5/1, 39, 4
2017/5/2, 19, 5
2017/5/3, 17, 9
2017/5/4, 21, 8
2017/5/5, 16, 4
2017/5/6, 20, 3
2017/5/7, 15, 6
2017/5/8, 13, 15
2017/5/9, 21, 15
2017/5/10, 37, 11
2017/5/11, 36, 8
2017/5/12, 25, 4
2017/5/13, 17, 6
2017/5/14, 27, 5
2017/5/15, 17, 16
2017/5/16, 26, 20
2017/5/17, 60, 14
2017/5/18, 53, 10
2017/5/22, 37, 13
2017/5/23, 45, 9
2017/5/24, 36, 8
2017/5/25, 18, 5
2017/5/26, 38, 10
2017/5/27, 26, 9
2017/5/28, 31, 4
2017/5/29, 24, 6
