date, pm25, pm10, no2, so2, co
2018/11/3, 45, 25, 19, , 7
2018/11/4, 57, 29, 21, , 12
2018/11/5, 52, 33, 31, , 11
2018/11/6, 58, 31, 33, 1, 14
2018/11/7, 59, 29, 34, 1, 11
2018/11/8, 55, 33, 32, 1, 13
2018/11/9, 60, 35, 36, , 10
2018/11/10, 73, 37, 33, 1, 9
2018/11/11, 81, 46, 32, 1, 14
2018/11/12, 95, 46, 41, , 11
2018/11/13, 99, 55, 33, 1, 12
2018/11/14, 119, 25, 40, , 7
2018/11/15, 57, 15, 22, , 5
2018/11/16, 41, 12, 16, , 5
2018/11/17, 34, 12, 10, , 6
2018/11/18, 37, 29, 9, , 9
2018/11/19, 58, 31, 21, , 8
2018/11/20, 45, 30, 20, 1, 13
2018/11/21, 65, 41, 30, 1, 19
2018/11/22, 84, 41, 37, 1, 14
2018/11/23, 78, 40, 35, 1, 13
2018/11/24, 84, 18, 29, , 7
2018/11/25, 37, 22, 21, , 11
2018/11/26, 38, 20, 24, , 10
2018/11/27, 44, 12, 22, , 10
2018/11/28, 38, 19, 16, , 9
2018/11/29, 42, 38, 17, , 13
2018/11/30, 84, 31, 33, , 12
2018/12/1, 76, 25, 26, , 14
2018/12/2, 61, 42, 23, 1, 17
2018/12/3, 87, 29, 41, 1, 13
2018/12/4, 68, 27, 30, , 
2018/9/6, 52, 27, 27, , 9
2018/9/7, 59, 32, 36, , 8
2018/9/8, 50, 27, 26, , 8
2018/9/9, 63, 30, 31, , 9
2018/9/10, 56, 30, 37, , 7
2018/9/11, 45, 21, 23, , 7
2018/9/12, 44, 21, 21, , 10
2018/9/13, 65, 31, 33, , 8
2018/9/14, 51, 26, 35, , 8
2018/9/15, 60, 28, 25, , 8
2018/9/16, 54, 27, 24, , 9
2018/9/17, 56, 30, 31, , 10
2018/9/18, 60, 31, 30, , 9
2018/9/19, 57, 29, 25, , 9
2018/9/20, 62, 33, 30, , 9
2018/9/21, 70, 34, 36, , 9
2018/9/22, 72, 40, 30, , 10
2018/9/23, 68, 36, 34, , 8
2018/9/24, 56, 26, 26, , 5
2018/9/25, 46, 32, 7, , 5
