date, pm25, pm10, no2, so2, co
2018/12/24, 37, , , , 
2018/12/25, 57, , , , 
2018/12/26, 48, , , , 
2018/12/27, 32, , , , 
2018/12/28, 26, , , , 
2018/12/29, 26, , , , 
2018/12/30, 36, , , , 
2018/7/1, 65, , , , 
2018/7/2, 51, , , , 
2018/7/3, 38, , , , 
2018/7/4, 47, , , , 
2018/7/5, 55, , , , 
2018/7/6, 31, , , , 
2018/7/7, 30, , , , 
2018/7/8, 32, , , , 
2018/7/9, 50, , , , 
2018/7/10, 64, , , , 
2018/7/11, 46, , , , 
2018/7/12, 42, , , , 
2018/7/13, 54, , , , 
2018/7/14, 63, , , , 
2018/7/15, 67, , , , 
2018/7/16, 59, , , , 
2018/7/17, 42, , , , 
2018/7/18, 37, , , , 
2018/7/19, 45, , , , 
2018/7/20, 49, , , , 
2018/7/21, 30, , , , 
2018/7/22, 30, , , , 
2018/7/23, 28, , , , 
2018/7/24, 23, , , , 
2018/7/25, 45, , , , 
2018/7/26, 59, , , , 
2018/7/27, 47, , , , 
2018/7/28, 33, , , , 
2018/7/29, 45, , , , 
2018/7/30, 46, , , , 
2018/7/31, 24, , , , 
2018/8/1, 46, , , , 
2018/8/2, 46, , , , 
2018/8/3, 41, , , , 
2018/8/4, 59, , , , 
2018/8/5, 70, , , , 
2018/8/6, 68, , , , 
2018/8/7, 50, , , , 
2018/8/8, 43, , , , 
2018/8/9, 51, , , , 
2018/8/10, 51, , , , 
2018/8/11, 39, , , , 
2018/8/12, 36, , , , 
2018/8/13, 45, , , , 
2018/8/14, 53, , , , 
2018/8/15, 69, , , , 
2018/8/16, 76, , , , 
2018/8/17, 60, , , , 
2018/8/18, 41, , , , 
2018/8/19, 31, , , , 
2018/8/20, 26, , , , 
2018/8/21, 39, , , , 
2018/8/22, 47, , , , 
2018/8/23, 43, , , , 
2018/8/24, 50, , , , 
2018/8/25, 49, , , , 
2018/8/26, 69, , , , 
2018/8/27, 69, , , , 
2018/8/28, 65, , , , 
2018/8/29, 48, , , , 
2018/8/30, 35, , , , 
2018/8/31, 51, , , , 
2018/9/1, 41, , , , 
2018/9/2, 32, , , , 
2018/9/3, 56, , , , 
2018/9/4, 43, , , , 
2018/9/5, 44, , , , 
2018/9/6, 50, , , , 
2018/9/7, 33, , , , 
2018/9/8, 28, , , , 
2018/9/9, 11, , , , 
2018/9/10, 19, , , , 
2018/9/11, 25, , , , 
2018/9/12, 28, , , , 
2018/9/13, 16, , , , 
2018/9/14, 20, , , , 
2018/9/15, 17, , , , 
2018/9/16, 24, , , , 
2018/9/17, 25, , , , 
2018/9/18, 38, , , , 
2018/9/19, 48, , , , 
2018/9/20, 53, , , , 
2018/9/21, 48, , , , 
2018/9/22, 26, , , , 
2018/9/23, 27, , , , 
2018/9/24, 14, , , , 
2018/9/25, 29, , , , 
2018/9/26, 32, , , , 
2018/9/27, 24, , , , 
2018/9/28, 30, , , , 
2018/9/29, 34, , , , 
2018/9/30, 48, , , , 
2018/4/1, 27, , 11, , 
2018/4/2, 40, , 11, , 
2018/4/3, 49, , 6, , 
2018/4/4, 28, , 9, , 
2018/4/5, 34, , 8, , 
2018/4/6, 30, , 8, , 
2018/4/7, 28, , 7, , 
