date, pm25, pm10, o3, so2, co
2018/8/3, , 31, , , 4
2018/8/4, , 20, , , 5
2018/8/5, , 25, , , 5
2018/8/6, , 24, , , 6
2018/8/7, , 40, , , 7
2018/8/8, , 39, , , 8
2018/8/9, , 42, , , 10
2018/8/10, , 38, , , 10
2018/8/11, , 45, , , 6
2018/8/12, , 28, , , 7
2018/8/13, , 29, , , 8
2018/8/14, , 41, , , 9
2018/8/15, , 51, , , 10
2018/8/16, , 55, , , 9
2018/8/17, , 43, , , 8
2018/8/18, , 40, , , 8
2018/8/19, , 36, , , 9
2018/8/20, , 57, , , 9
2018/8/21, , 59, , , 13
2018/8/22, , 60, , , 13
2018/8/23, , 59, , , 10
2018/8/24, , 47, , , 7
2018/8/25, , 30, , , 5
2018/8/26, , 14, , , 5
2018/8/27, , 12, , , 6
2018/8/28, , 17, , , 11
2018/8/29, , 22, , , 11
2018/8/30, , 26, , , 7
2018/8/31, , 17, , , 6
2018/9/1, , 14, , , 5
2018/9/2, , 12, , , 6
2018/9/3, , 16, , , 6
2018/9/4, , 26, , , 8
2018/9/5, , 36, , , 8
2018/9/6, , 39, , , 9
2018/9/7, , 41, , , 8
2018/9/8, , 38, , , 6
2018/9/9, , 26, , , 8
2018/9/10, , 26, , , 6
2018/9/11, , 24, , , 6
2018/9/12, , 18, , , 7
2018/9/13, , 25, , , 8
2018/9/14, , 29, , , 8
2018/9/15, , 29, , , 6
2018/9/16, , 16, , , 7
2018/9/17, , 26, , , 7
2018/9/18, , 26, , , 7
2018/9/19, , 28, , , 7
2018/9/20, , 19, , , 10
2018/9/21, , 22, , , 8
2018/9/22, , 22, , , 7
2018/9/23, , 18, , , 6
2018/9/24, , 21, , , 7
2018/9/25, , 22, , , 8
2018/9/26, , 25, , , 8
2018/9/27, , 30, , , 11
2018/9/28, , 35, , , 10
2018/9/29, , 34, , , 7
2018/9/30, , 23, , , 8
2018/4/1, , 16, , , 
2018/4/2, , 12, , , 
2018/4/3, , 19, , , 
2018/4/4, , 20, , , 
2018/4/5, , 21, , , 
2018/4/6, , 11, , , 
2018/4/7, , 13, , , 
2018/4/8, , 8, , , 
2018/4/9, , 15, , , 
2018/4/10, , 23, , , 
2018/4/11, , 21, , , 
2018/4/12, , 11, , , 
2018/4/13, , 10, , , 
2018/4/14, , 13, , , 
2018/4/15, , 19, , , 
2018/4/16, , 11, , , 
2018/4/17, , 11, , , 
2018/4/18, , 12, , , 
2018/4/19, , 21, , , 
2018/4/20, , 18, , , 
2018/4/21, , 16, , , 
2018/4/22, , 10, , , 
2018/4/23, , 16, , , 
2018/4/24, , 18, , , 
2018/4/25, , 19, , , 
2018/4/26, , 30, , , 
2018/4/27, , 37, , , 
2018/4/28, , 18, , , 
2018/4/29, , 9, , , 
2018/4/30, , 7, , , 
2018/5/1, , 11, , , 
2018/5/2, , 13, , , 
2018/5/3, , 21, , , 
2018/5/4, , 24, , , 
