date, pm25, o3, no2, so2
2018/1/2, 55, 14, 25, 1
2018/1/3, 63, 26, 7, 
2018/1/4, 41, 26, 3, 
2018/1/5, 31, 25, 4, 
2018/1/6, 38, 26, 10, 3
2018/1/7, 45, 17, 18, 2
2018/1/8, 63, 18, 23, 1
2018/1/9, 73, 12, 27, 1
2018/1/10, 70, 11, 28, 1
2018/1/11, 54, 23, 8, 
2018/1/12, 6, 28, 1, 
2018/1/13, 11, 27, 7, 
2018/1/14, 39, 19, 12, 
2018/1/15, 52, 13, 18, 1
2018/1/16, 59, 20, 8, 
2018/1/17, 63, 24, 11, 1
2018/1/18, 62, 22, 22, 1
2018/1/19, 70, 22, 21, 
2018/1/20, 53, 14, 23, 1
2018/1/21, 72, 17, 23, 
2018/1/22, 58, 25, 10, 
2018/1/23, 19, 24, 5, 
2018/1/24, 19, 25, 12, 
2018/1/25, 39, 18, 18, 
2018/1/26, 57, 24, 16, 
2018/1/27, 48, 15, 18, 
2018/1/28, 40, 14, 18, 
2018/1/29, 53, 24, 9, 
2018/1/30, 34, 25, 6, 
2018/1/31, 32, 15, 15, 
2018/2/1, 48, 24, 3, 
2018/2/2, 31, 22, 7, 
2018/2/3, 47, 21, 12, 
2018/2/4, 47, 27, 8, 
2018/2/5, 39, 18, 14, 
2018/2/6, 55, 14, 20, 
2018/2/7, 57, 30, 8, 
2018/2/8, 55, 27, 14, 
2018/2/9, 70, 10, 24, 
2018/2/10, 61, 6, 17, 
2018/2/11, 21, 28, 10, 
2018/2/12, 22, 26, 7, 
2018/2/13, 44, 21, 14, 
2018/2/14, 49, 4, 17, 
2018/2/15, 50, 27, 10, 
2018/2/16, 22, 26, 8, 
2018/2/17, 38, 31, 10, 
2018/2/18, 53, 20, 16, 
2018/2/19, 54, 15, 17, 
2018/2/20, 46, 16, 13, 
2018/2/21, 36, 21, 13, 
2018/2/22, 29, 20, 13, 
2018/2/23, 43, 13, 11, 
2018/2/26, 30, 28, 12, 
2018/2/27, 42, 29, 8, 
2018/2/28, 35, 20, 18, 
2018/3/1, 53, 29, 4, 
2018/3/2, 16, 30, , 
2018/3/3, 23, 33, , 
2018/3/4, 21, 28, 2, 
2018/3/5, 20, 29, 7, 
2018/3/6, 30, 24, 7, 
2018/3/7, 21, 29, 4, 
2018/3/8, 30, 25, 2, 
2018/3/9, 27, 31, 4, 
2018/3/10, 40, 33, 14, 
2018/3/11, 37, 21, 16, 
2018/3/12, 48, 29, 4, 
2018/3/13, 26, 26, 3, 
2018/3/14, 28, 26, 6, 
2018/3/15, 48, 29, 4, 
2018/3/16, 38, 30, 5, 
2018/3/17, 36, 35, 11, 
2018/3/18, 32, 31, 11, 
2018/3/19, 50, 16, 24, 
2018/3/20, 52, 28, 7, 1
2018/3/21, 32, 31, 4, 
2018/3/22, 23, 31, 3, 
2018/3/23, 34, 34, 4, 
2018/3/24, 28, 27, 3, 
2018/3/25, 33, 30, 12, 1
