date, pm25, o3, so2, co
2019/2/18, 36, 30, , 
2019/2/19, 42, 24, , 
2019/2/20, 31, 29, , 
2019/2/21, 60, 28, 1, 
2019/2/22, 73, 19, 1, 
2019/2/23, 50, 38, 1, 
2019/2/24, 46, 30, 1, 
2019/2/25, 26, 24, 1, 1
2019/2/26, 42, 25, , 1
2019/2/27, 55, 28, 1, 1
2019/2/28, 45, 31, 1, 
2019/3/1, 60, 34, 1, 
2019/3/2, 65, 29, 1, 
2019/3/3, 35, 32, 1, 
2019/3/4, 31, 32, 1, 1
2019/3/5, 29, 36, 1, 
2019/3/6, 31, 33, 1, 
2019/3/7, 45, 28, 1, 
2019/3/8, 58, 24, , 
2019/3/9, 46, 35, , 
2019/3/10, 43, 37, , 
2019/3/11, 31, 34, 1, 
2019/3/12, 32, 31, 1, 
2019/3/13, 28, 34, 4, 
2019/3/14, 33, 32, , 
2019/3/15, 20, 35, , 
2019/3/16, 26, 35, , 
2019/3/17, 22, 39, , 
2019/3/18, 39, 41, , 
2019/3/19, 44, 30, 1, 
2019/3/20, 52, 31, , 
2019/3/21, 41, 22, , 
2019/3/22, 26, , , 
2019/3/23, 29, 24, , 
2019/3/24, 41, 31, , 
2019/3/25, 40, 37, 1, 
2019/3/26, 25, 39, 1, 
2019/3/27, 30, 36, 1, 
2019/3/28, 50, 27, , 
2019/3/29, 44, 33, , 
2019/3/30, 32, 34, , 
2019/3/31, 23, 35, 1, 
2018/10/1, 34, 24, 1, 1
2018/10/2, 29, 29, 1, 1
2018/10/3, 30, 24, 1, 1
2018/10/4, 30, 28, 1, 1
2018/10/5, 30, 23, 1, 1
2018/10/6, 32, 26, 1, 1
2018/10/7, 23, 31, 1, 1
2018/10/8, 33, 30, 1, 1
2018/10/9, 43, 19, 1, 1
2018/10/10, 14, 23, 1, 1
2018/10/11, 16, 20, , 1
2018/10/12, 17, 23, 1, 1
2018/10/13, 26, 28, 1, 1
2018/10/14, 26, 21, , 1
2018/10/15, 27, 27, 2, 1
2018/10/16, 26, 26, 1, 1
2018/10/17, 21, 30, 1, 1
2018/10/18, 27, 22, 2, 1
2018/10/19, 28, 28, 1, 1
2018/10/20, 30, 25, 1, 1
2018/10/21, 25, 32, 2, 1
2018/10/22, 29, 24, 1, 1
2018/10/23, 23, 21, , 1
2018/10/24, 32, 20, 1, 1
2018/10/25, 28, 12, 1, 2
2018/10/26, 39, 28, 1, 2
2018/10/27, 40, 25, 1, 1
2018/10/28, 27, 30, 1, 1
2018/10/29, 29, 31, 1, 1
2018/10/30, 24, 17, 1, 2
2018/10/31, 42, 28, 1, 1
2018/11/1, 18, 23, 1, 1
2018/11/2, 22, 23, 1, 1
2018/11/3, 23, 22, 1, 1
2018/11/4, 28, 17, 1, 1
2018/11/5, 18, 17, 1, 1
2018/11/6, 19, 15, 1, 1
2018/11/7, 25, 18, 1, 1
2018/11/8, 32, 21, 1, 1
2018/11/9, 37, 21, 1, 1
2018/11/10, 19, 16, 1, 1
2018/11/11, 31, 15, 1, 1
2018/11/12, 51, 22, , 
2018/11/13, 42, 20, 1, 1
2018/11/14, 45, 22, 1, 1
2018/11/15, 61, 18, 1, 1
2018/11/16, 54, 16, 1, 1
2018/11/17, 69, 15, 1, 1
2018/11/18, 48, 20, 1, 1
2018/11/19, 41, 21, 1, 1
2018/11/20, 49, 14, 1, 1
2018/11/21, 59, 18, 1, 2
2018/11/22, 57, 21, 1, 1
2018/11/23, 47, 22, 1, 1
2018/11/24, 33, 22, 1, 1
2018/11/25, 31, 22, 1, 1
2018/11/26, 25, 18, 1, 
2018/11/27, 38, 18, 1, 
2018/11/28, 25, 14, 2, 2
2018/11/29, 53, 13, 1, 2
2018/11/30, 70, 23, 1, 1
2018/12/1, 26, 16, 1, 1
2018/12/2, 20, 18, 1, 1
2018/12/3, 18, 21, 1, 1
2018/12/4, 20, 23, 1, 1
2018/12/5, 33, 17, 2, 1
2018/12/6, 44, 19, 2, 1
2018/12/7, 47, 23, 1, 
2018/12/8, 46, 21, 1, 
2018/12/9, 57, 15, 2, 
2018/12/10, 74, 19, 1, 1
2018/12/11, 66, 19, 1, 1
2018/12/12, 44, 11, 1, 1
2018/12/13, 40, 12, , 2
2018/12/14, 39, 19, 1, 1
2018/12/15, 38, 19, 1, 2
2018/12/16, 53, 18, , 1
2018/12/17, 31, 17, 1, 1
2018/12/18, 39, 18, 1, 
2018/12/19, 40, 16, 1, 1
2018/12/20, 48, 16, , 
2018/12/21, 29, 18, 1, 
2018/12/22, 44, 19, , 
2018/12/23, 40, 22, 1, 
2018/12/24, 24, 26, 1, 
2018/12/25, 23, 20, 1, 
2018/12/26, 40, 23, 1, 
2018/12/27, 17, 18, , 
2018/12/28, 28, 16, , 
2018/12/29, 29, 13, 1, 
2018/12/30, 42, , , 
2018/7/1, 50, 36, 1, 1
2018/7/2, 32, 33, 1, 1
2018/7/3, 38, 27, 1, 1
2018/7/4, 41, 25, 1, 1
2018/7/5, 35, 35, 1, 1
2018/7/6, 21, 35, 1, 1
2018/7/7, 26, 44, 1, 1
2018/7/8, 36, 40, 1, 2
2018/7/9, 39, 37, 1, 1
2018/7/10, 43, 44, 1, 1
2018/7/11, 37, 40, 1, 2
2018/7/12, 41, 47, 1, 2
2018/7/13, 56, 35, 1, 2
2018/7/14, 48, 35, 1, 1
2018/7/15, 28, 33, 1, 1
2018/7/16, 34, 35, 1, 1
2018/7/17, 32, 25, 1, 1
2018/7/18, 23, 39, 1, 1
2018/7/19, 25, 35, 1, 1
2018/7/20, 19, 35, 1, 1
2018/7/21, 31, 31, 1, 1
2018/7/22, 33, 35, 1, 2
2018/7/23, 44, 37, 1, 2
2018/7/24, 50, 29, 1, 1
2018/7/25, 31, 28, 1, 1
2018/7/26, 32, 27, 1, 1
2018/7/27, 29, 31, 1, 1
2018/7/28, 31, 22, 1, 1
2018/7/29, 33, 33, 1, 1
2018/7/30, 26, 31, 1, 1
2018/7/31, 43, 38, 1, 2
2018/8/1, 36, 36, 1, 1
2018/8/2, 49, 41, 1, 2
