date, pm25, pm10, o3, so2, co
2018/7/21, 30, 12, 4, 14, 
2018/7/22, 37, 20, 10, 4, 
2018/7/23, 54, 38, 12, 4, 
2018/7/24, 97, 11, 12, 3, 
2018/7/25, 35, 4, 13, 3, 
2018/7/26, 17, 6, 13, 3, 
2018/7/27, 19, 6, 8, 4, 
2018/7/28, 21, 3, 10, 3, 
2018/7/29, 13, 17, 6, 4, 
2018/7/30, 48, 17, 15, 3, 
2018/7/31, 49, 14, 16, 8, 
2018/8/1, 43, 26, 14, 5, 
2018/8/2, 63, 12, 11, 3, 
2018/8/3, 35, 17, 8, 4, 
2018/8/4, 48, 21, 9, 5, 
2018/8/5, 56, 13, 9, 10, 
2018/8/6, 41, 13, 9, 10, 
2018/8/7, 40, 8, 8, 5, 
2018/8/8, 24, 11, 12, 4, 
2018/8/9, 35, 9, 17, 3, 
2018/8/10, 30, 10, 16, 4, 
2018/8/11, 32, 4, 17, 6, 
2018/8/12, 14, 8, 8, 4, 
2018/8/13, 24, 12, 16, 4, 
2018/8/14, 38, 16, 18, 4, 
2018/8/15, 47, 11, 19, 6, 
2018/8/16, 36, 10, 20, 8, 
2018/8/17, 31, , , , 
2018/8/21, 58, 13, 16, 10, 
2018/8/22, 41, 10, 17, 8, 
2018/8/23, 32, 13, 23, 4, 
2018/8/24, 40, 12, 23, 4, 
2018/8/25, 37, 24, 28, 6, 
2018/8/26, 63, 20, 20, 16, 
2018/8/27, 55, 18, 22, 12, 
2018/8/28, 46, 22, 19, 6, 
2018/8/29, 60, 23, 15, 4, 
2018/8/30, 61, 13, 16, 4, 
2018/8/31, 42, 23, 18, 4, 
2018/9/1, 67, 9, 20, 4, 
2018/9/2, 32, 17, 18, 6, 
2018/9/3, 54, 11, 18, 11, 
2018/9/4, 36, 10, 16, 12, 
2018/9/5, 30, 13, 35, 17, 
2018/9/6, 36, 28, 27, 6, 
2018/9/7, 72, 14, 29, 5, 
2018/9/8, 43, 9, 30, 5, 
2018/9/9, 29, 7, 28, 5, 
2018/9/10, 25, 11, 24, 5, 
2018/9/11, 37, 13, 22, 5, 
2018/9/12, 40, 17, 24, 5, 
2018/9/13, 51, 14, 19, , 
2018/9/14, 47, 9, 24, , 
2018/9/15, 29, 4, 19, 1, 
2018/9/16, 12, 14, 18, , 
2018/9/17, 47, 10, 18, 4, 
2018/9/18, 33, 9, 23, , 
2018/9/19, 25, 27, 23, 12, 
2018/9/20, 70, 18, 26, 5, 
2018/9/21, 47, 19, 24, 7, 
2018/9/22, 56, 9, 23, 1, 
2018/9/23, 26, 23, 27, 2, 
2018/9/24, 61, 7, 29, , 
2018/9/25, 22, 20, 43, 1, 
2018/9/26, 55, 22, 24, , 
2018/9/27, 60, 9, 26, , 
