date, pm25, o3, no2, co
2018/9/14, 19, 21, 3, 1
2018/9/15, 19, 18, 3, 1
2018/9/16, 14, 23, 3, 1
2018/9/17, 11, 17, 2, 1
2018/9/18, 13, 15, 2, 2
2018/9/19, 8, 16, 4, 2
2018/9/20, 8, 18, 3, 2
2018/9/21, 8, 21, 4, 1
2018/9/22, 13, 20, 3, 1
2018/9/23, 11, 18, 3, 1
2018/9/24, 9, 21, 4, 2
2018/9/25, 13, 22, 1, 2
2018/9/26, 10, 19, 3, 3
2018/9/27, 13, 18, 4, 2
2018/9/28, 11, 16, 3, 3
2018/9/29, 20, 16, 3, 2
2018/9/30, 13, 15, 3, 1
2018/4/1, 16, 35, 3, 
2018/4/2, 14, 37, 6, 1
2018/4/3, 18, 31, 3, 1
2018/4/4, 10, 33, 1, 
2018/4/5, 11, 33, 1, 
2018/4/6, 10, 38, 2, 1
2018/4/7, 13, 34, 2, 1
2018/4/8, 17, 31, 1, 1
2018/4/9, 11, 32, 2, 2
2018/4/10, 12, 34, 6, 3
2018/4/11, 16, 38, 6, 3
2018/4/12, 22, 37, 5, 3
2018/4/13, 15, 37, 3, 2
2018/4/14, 16, 32, 2, 2
2018/4/15, 11, 28, 3, 1
2018/4/16, 16, 30, 2, 1
2018/4/17, 10, 27, 1, 1
2018/4/18, 11, 26, 4, 1
2018/4/19, 10, 29, 1, 1
2018/4/20, 9, 39, 3, 1
2018/4/21, 15, 38, 6, 2
2018/4/22, 19, 39, 7, 2
2018/4/23, 13, 45, 7, 2
2018/4/24, 24, 41, 2, 2
2018/4/25, 18, 35, 2, 2
2018/4/26, 16, 34, 1, 2
2018/4/27, 9, 36, 1, 2
2018/4/28, 12, 25, 1, 2
2018/4/29, 13, 22, 2, 2
2018/4/30, 13, 24, 2, 2
2018/5/1, 13, 38, 3, 2
2018/5/2, 23, 29, 1, 2
2018/5/3, 18, 21, 2, 1
2018/5/4, 13, 34, 1, 1
2018/5/5, 20, 34, 2, 1
2018/5/6, 18, 31, 2, 1
2018/5/7, 13, 35, 6, 2
2018/5/8, 13, 34, 1, 1
2018/5/9, 11, 33, 2, 1
2018/5/10, 13, 33, 1, 1
2018/5/11, 11, 33, 1, 1
