date, pm10, no2, so2
2018/11/28, 16, 7, 1
2018/11/29, 20, 9, 1
2018/11/30, 9, 7, 
2018/12/1, 15, 3, 
2018/12/2, 9, 4, 
2018/12/3, 8, 4, 1
2018/12/4, 9, 9, 1
2018/12/5, 11, 7, 
2018/12/6, 14, 4, 
2018/12/7, 9, 2, 
2018/12/8, 3, 2, 
2018/12/9, 6, 2, 
2018/12/10, 8, 5, 2
2018/12/11, 11, 8, 
2018/12/12, 8, 9, 
2018/12/13, 6, 10, 
2018/12/14, 8, 5, 
2018/12/15, 14, 5, 1
2018/12/16, 16, 9, 
2018/12/17, 25, 6, 
2018/12/18, 19, 8, 
2018/12/19, 10, 9, 1
2018/12/20, 12, 4, 
2018/12/21, 8, 5, 
2018/12/22, 4, 3, 
2018/12/23, 9, 4, 
2018/12/24, 6, 2, 
2018/12/25, 5, 4, 
2018/12/26, 12, 6, 
2018/12/27, 15, 9, 
2018/12/28, 17, 11, 
2018/12/29, 18, 2, 
2018/12/30, 9, , 
2018/7/1, 6, 5, 2
2018/7/2, 5, 4, 1
2018/7/3, 9, 5, 2
2018/7/4, 13, 3, 1
2018/7/5, 8, 2, 1
2018/7/6, 9, 1, 1
2018/7/7, 12, 2, 1
2018/7/8, 10, 2, 2
2018/7/9, 10, 2, 2
2018/7/10, 9, 4, 1
2018/7/11, 11, 5, 1
2018/7/12, 11, 1, 1
2018/7/13, 15, 2, 1
2018/7/14, 8, 4, 1
2018/7/15, 4, 6, 2
2018/7/16, 8, 7, 3
2018/7/17, 12, 2, 2
2018/7/18, 15, 4, 2
2018/7/19, 8, 5, 2
2018/7/20, 8, 8, 3
2018/7/21, 14, 5, 2
2018/7/22, 20, 4, 3
2018/7/23, 13, 7, 3
2018/7/24, 13, 7, 3
2018/7/25, 16, 10, 3
2018/7/26, 18, 8, 3
2018/7/27, 21, 5, 4
2018/7/28, 23, 3, 3
2018/7/29, 15, 7, 4
2018/7/30, 13, 6, 3
2018/7/31, 19, 5, 2
2018/8/1, 14, 8, 
2018/8/2, 13, 6, 
2018/8/3, 25, 4, 
2018/8/4, 14, 2, 
2018/8/5, 7, 3, 1
2018/8/6, 8, 12, 1
2018/8/7, 14, 6, 
2018/8/8, 26, 4, 
2018/8/9, 20, 3, 
2018/8/10, 12, , 
2018/8/13, 12, 3, 
2018/8/14, 17, 5, 
2018/8/15, 8, 6, 
2018/8/16, 13, 6, 
2018/8/17, 16, 4, 
2018/8/18, 9, 4, 
2018/8/19, 13, 2, 
2018/8/20, 11, 4, 
2018/8/21, 6, 6, 
2018/8/22, 10, 5, 
2018/8/23, 28, 3, 
2018/8/24, 14, 4, 1
2018/8/25, 5, 3, 
2018/8/26, 4, 3, 
2018/8/27, 8, 3, 
2018/8/28, 9, 8, 1
2018/8/29, 12, 3, 
2018/8/30, 21, 3, 
2018/8/31, 9, 5, 1
2018/9/1, 10, 4, 
2018/9/2, 8, 5, 
2018/9/3, 11, 5, 
2018/9/4, 13, 8, 
2018/9/5, 10, 6, 
2018/9/6, 14, 4, 2
2018/9/7, 26, 3, 1
2018/9/8, 7, 4, 
2018/9/9, 9, 6, 1
2018/9/10, 10, 5, 1
2018/9/11, 13, 3, 1
2018/9/12, 10, 5, 1
2018/9/13, 7, 7, 
2018/9/14, 9, 4, 
2018/9/15, 11, 4, 1
2018/9/16, 10, 7, 1
2018/9/17, 11, 11, 1
2018/9/18, 15, 5, 
2018/9/19, 23, 4, 1
2018/9/20, 21, 3, 1
2018/9/21, 17, 2, 
2018/9/22, 8, 4, 
2018/9/23, 9, 2, 
2018/9/24, 6, 5, 
2018/9/25, 6, 6, 1
2018/9/26, 9, 6, 
2018/9/27, 14, 4, 
2018/9/28, 15, 5, 
2018/9/29, 9, 5, 
2018/9/30, 11, 4, 
2018/4/1, 21, 5, 
2018/4/2, 22, 5, 
2018/4/3, 18, 5, 
2018/4/4, 6, 3, 
2018/4/5, 8, 4, 
2018/4/6, 10, 4, 
2018/4/7, 9, 9, 
2018/4/8, 18, 11, 
2018/4/9, 26, 8, 
2018/4/10, 38, 5, 
2018/4/11, 19, 8, 
2018/4/12, 17, 10, 
2018/4/13, 28, 6, 
2018/4/14, 28, 8, 
2018/4/15, 20, 10, 
2018/4/16, 19, 5, 
2018/4/17, 9, 8, 
2018/4/18, 15, 7, 
2018/4/19, 18, 8, 
2018/4/20, 21, 5, 
2018/4/21, 39, 9, 
2018/4/22, 13, 4, 
2018/4/23, 15, 5, 
2018/4/24, 14, 3, 
2018/4/25, 12, 4, 
2018/4/26, 6, 5, 
2018/4/27, 9, 7, 
2018/4/28, 12, 7, 
2018/4/29, 14, 5, 
2018/4/30, 15, 3, 
2018/5/1, 6, 9, 
2018/5/2, 11, 5, 
2018/5/3, 12, 12, 
2018/5/4, 11, 8, 
2018/5/5, 10, 5, 
2018/5/6, 11, 7, 
