date, aqi
2018/1/26, 21
2018/1/27, 19
2018/1/28, 19
2018/1/30, 21
2018/1/31, 22
2018/2/1, 20
2018/2/2, 21
2018/2/3, 21
2018/2/4, 28
2018/2/5, 36
2018/2/6, 39
2018/2/7, 33
2018/2/8, 34
2018/2/9, 40
2018/2/10, 40
2018/2/11, 40
2018/2/12, 41
2018/2/13, 34
2018/2/14, 25
2018/2/15, 29
2018/2/16, 28
2018/2/17, 35
2018/2/18, 39
2018/2/19, 33
2018/2/20, 19
2018/2/21, 23
2018/2/22, 34
2018/2/23, 46
2018/2/24, 15
2018/2/25, 19
2018/2/26, 23
2018/2/27, 22
2018/2/28, 23
2018/3/1, 22
2018/3/2, 21
2018/3/3, 15
2018/3/4, 18
2018/3/5, 16
2018/3/6, 20
2018/3/7, 16
2018/3/8, 21
2018/3/9, 21
2018/3/10, 24
2018/3/11, 26
2018/3/12, 30
2018/3/13, 27
2018/3/14, 28
2018/3/15, 24
2018/3/16, 27
2018/3/17, 21
2018/3/18, 18
2018/3/19, 19
2018/3/20, 17
2018/3/21, 19
2018/3/22, 21
2018/3/23, 24
2018/3/24, 25
2018/3/25, 25
2018/3/26, 26
2018/3/27, 27
2018/3/28, 32
2018/3/29, 31
2018/3/30, 29
2018/3/31, 28
2017/10/5, 22
2017/10/6, 20
2017/10/7, 17
2017/10/8, 19
2017/10/9, 20
2017/10/10, 21
2017/10/11, 21
2017/10/12, 20
2017/10/13, 18
2017/10/14, 14
2017/10/15, 22
2017/10/16, 31
2017/10/17, 34
2017/10/18, 34
2017/10/19, 31
2017/10/20, 30
2017/10/21, 28
2017/10/22, 27
2017/10/23, 27
2017/10/24, 27
2017/10/25, 20
2017/10/26, 16
2017/10/27, 17
2017/10/28, 16
2017/10/29, 16
2017/12/12, 33
2017/12/13, 35
2017/12/14, 32
2017/12/15, 28
2017/12/16, 27
2017/12/17, 23
2017/12/18, 30
2017/12/19, 37
2017/12/20, 36
2017/12/21, 38
2017/12/22, 42
2017/12/23, 36
2017/12/24, 36
2017/12/25, 23
2017/12/26, 29
2017/12/27, 27
2017/12/28, 26
2017/12/29, 17
2017/12/30, 17
2017/7/7, 13
2017/7/8, 17
2017/7/9, 19
2017/7/10, 20
2017/7/11, 17
2017/7/12, 21
2017/7/13, 25
2017/7/14, 20
2017/7/15, 18
2017/7/16, 25
2017/7/17, 31
2017/7/18, 36
2017/8/27, 18
2017/8/28, 17
2017/8/29, 16
2017/8/30, 21
2017/8/31, 20
2017/9/1, 22
2017/9/2, 18
2017/9/3, 18
2017/9/4, 13
2017/9/5, 14
2017/9/6, 14
2017/9/11, 15
2017/9/12, 23
2017/9/13, 21
2017/9/14, 17
2017/9/15, 12
2017/4/1, 31
2017/4/2, 33
2017/4/3, 34
2017/4/4, 36
2017/4/5, 40
2017/4/6, 42
2017/4/7, 43
2017/4/8, 48
2017/4/9, 38
2017/4/10, 33
2017/4/11, 40
2017/4/12, 39
2017/4/13, 42
2017/4/14, 40
2017/1/2, 35
2017/1/3, 31
2017/1/4, 26
2017/1/5, 30
2017/1/6, 36
2017/1/7, 33
2017/1/8, 28
2017/1/9, 32
2017/1/10, 38
2017/1/11, 42
2017/1/12, 45
2017/1/13, 35
2017/1/14, 35
2017/1/15, 34
2017/1/16, 29
2017/1/17, 30
2017/1/18, 30
2017/1/19, 23
2017/1/20, 23
2017/1/21, 17
2017/1/22, 27
2017/1/23, 34
2017/1/24, 40
2017/1/25, 40
2017/1/26, 39
2017/1/27, 35
2017/1/28, 45
2017/1/29, 46
2017/1/30, 44
2017/1/31, 39
2017/2/1, 35
2017/2/2, 41
2017/2/3, 44
2017/2/4, 31
2017/2/5, 26
2017/2/6, 27
2017/2/7, 35
2017/2/8, 46
2017/2/9, 44
2017/2/10, 38
2017/2/11, 41
2017/2/12, 55
2017/2/13, 59
2017/2/14, 54
2017/2/15, 51
2017/2/16, 49
2017/2/17, 52
2017/2/18, 50
2017/2/19, 43
2017/2/20, 42
2017/2/21, 51
2017/2/22, 39
2017/2/23, 37
2017/2/24, 32
2017/2/25, 31
2017/2/26, 33
2017/2/27, 31
2017/2/28, 36
2017/3/1, 44
2017/3/2, 47
2017/3/3, 45
2017/3/4, 48
2017/3/5, 50
2017/3/6, 47
2017/3/7, 49
2017/3/8, 53
2017/3/9, 50
2017/3/10, 45
2017/3/11, 42
2017/3/12, 41
2017/3/13, 47
2017/3/14, 50
2017/3/15, 45
2017/3/16, 40
2017/3/17, 40
2017/3/18, 39
2017/3/19, 40
2017/3/20, 34
2017/3/21, 33
2017/3/22, 40
2017/3/23, 37
2017/3/24, 38
2017/3/25, 44
2017/3/26, 40
2017/3/27, 38
2017/3/28, 34
2017/3/29, 30
2017/3/30, 32
2017/3/31, 36
