date, pm25, no2, co
2018/1/16, 48, 11, 2
2018/1/17, 49, 18, 2
2018/1/18, 50, 23, 2
2018/1/19, 52, 18, 2
2018/1/20, 32, 22, 4
2018/1/21, 42, 22, 4
2018/1/22, 46, 4, 1
2018/1/23, 15, 8, 1
2018/1/24, 27, 23, 3
2018/1/25, 48, 35, 5
2018/1/26, 43, , 3
2018/1/27, 47, , 5
2018/1/28, 42, , 5
2018/1/29, 38, , 2
2018/1/30, 19, 25, 2
2018/1/31, 38, 15, 2
2018/2/1, 51, 14, 2
2018/2/2, 27, 15, 2
2018/2/3, 23, 9, 2
2018/2/4, 28, 14, 2
2018/2/5, 25, 23, 3
2018/2/6, 51, 25, 3
2018/2/7, 57, 20, 3
2018/2/8, 40, 25, 5
2018/2/9, 43, 22, 9
2018/2/10, 80, 16, 3
2018/2/11, 46, 26, 4
2018/2/12, 41, 29, 4
2018/2/13, 51, 23, 3
2018/2/14, 42, 11, 2
2018/2/15, 26, 16, 2
2018/2/16, 35, 22, 3
2018/2/17, 34, 15, 3
2018/2/18, 37, 16, 2
2018/2/19, 29, 16, 1
2018/2/20, 41, 19, 3
2018/2/21, 32, 21, 3
2018/2/22, 22, 14, 3
2018/2/23, 23, 15, 4
2018/2/24, 31, 7, 1
2018/2/25, 16, 28, 5
2018/2/26, 38, 24, 7
2018/2/27, 40, 26, 5
2018/2/28, 41, 14, 2
2018/3/1, 24, 21, 3
2018/3/2, 26, 22, 5
2018/3/3, 37, 17, 3
2018/3/4, 22, 21, 3
2018/3/5, 20, 14, 2
2018/3/6, 25, 7, 2
2018/3/7, 20, 8, 2
2018/3/8, 25, 12, 3
2018/3/9, 31, 21, 4
2018/3/10, 45, 13, 3
2018/3/11, 25, 18, 3
2018/3/12, 41, 21, 3
2018/3/13, 34, 12, 2
2018/3/14, 25, 16, 3
2018/3/15, 35, 22, 3
2018/3/16, 26, 19, 4
2018/3/17, 42, 20, 4
2018/3/18, 28, 27, 5
2018/3/19, 48, 23, 3
2018/3/20, 35, 24, 3
2018/3/21, 35, 25, 4
2018/3/22, 33, 30, 5
2018/3/23, 40, 21, 4
2018/3/24, 39, 11, 3
2018/3/25, 25, 27, 4
2018/3/26, 32, 14, 3
2018/3/27, 40, 26, 5
2018/3/28, 42, 19, 4
2018/3/29, 37, 16, 3
2018/3/30, 38, 9, 4
2018/3/31, 30, 10, 3
2017/10/1, 35, 24, 5
2017/10/2, 50, 22, 5
2017/10/3, 46, 21, 5
2017/10/4, 51, 23, 5
2017/10/5, 58, 21, 5
2017/10/6, 56, 11, 3
2017/10/7, 41, 14, 4
2017/10/8, 39, 9, 3
2017/10/9, 28, 19, 6
2017/10/10, 60, 10, 2
2017/10/11, 32, 15, 4
2017/10/12, 31, 18, 6
