date, pm25, pm10, o3, co
2018/3/6, 22, , , 
2018/3/7, 35, , , 
2018/3/8, 36, , , 
2018/3/9, 19, , , 
2018/3/10, 17, , , 
2018/3/11, 14, , , 
2018/3/12, 22, , , 
2018/3/13, 24, , , 
2018/3/14, 19, , , 
2018/3/15, 14, , , 
2018/3/16, 16, , , 
2018/3/17, 10, , , 
2018/3/18, 9, , , 
2018/3/19, 16, , , 
2018/3/20, 22, , , 
2018/3/21, 18, , , 
2018/3/22, 23, , , 
2018/3/23, 14, , , 
2018/3/24, 18, , , 
2018/3/25, 13, , , 
2018/3/26, 12, , , 
2018/3/27, 13, , , 
2018/3/28, 16, , , 
2018/3/29, 22, , , 
2018/3/30, 15, , , 
2018/3/31, 13, , , 
2017/10/1, 16, , , 
2017/10/2, 9, , , 
2017/10/3, 13, , , 
2017/10/4, 18, , , 
2017/10/5, 16, , , 
2017/10/6, 22, , , 
2017/10/7, 17, , , 
2017/10/8, 13, , , 
2017/10/9, 13, , , 
2017/10/10, 16, , , 
2017/10/11, 53, , , 
2017/10/12, 35, , , 
2017/10/13, 17, , , 
2017/10/14, 14, , , 
2017/10/15, 22, , , 
2017/10/16, 38, , , 
2017/10/17, 22, , , 
2017/10/18, 34, , , 
2017/10/19, 31, , , 
2017/10/20, 28, , , 
2017/10/21, 13, , , 
2017/10/22, 13, , , 
2017/10/23, 22, , , 
2017/10/24, 28, , , 
2017/10/25, 31, , , 
2017/10/26, 24, , , 
2017/10/27, 21, , , 
2017/10/28, 42, , , 
2017/10/29, 26, , , 
2017/10/30, 13, , , 
2017/10/31, 23, , , 
2017/11/1, 46, , , 
2017/11/2, 16, , , 
2017/11/3, 22, , , 
2017/11/4, 17, , , 
2017/11/5, 13, , , 
2017/11/6, 16, , , 
2017/11/7, 20, , , 
2017/11/8, 34, , , 
2017/11/9, 27, , , 
2017/11/10, 15, , , 
2017/11/11, 15, , , 
2017/11/12, 19, , , 
2017/11/13, 26, , , 
2017/11/14, 17, , , 
2017/11/15, 14, , , 
2017/11/16, 13, , , 
2017/11/17, 13, , , 
2017/11/18, 12, , , 
2017/11/19, 21, , , 
2017/11/20, 24, , , 
2017/11/21, 23, , , 
2017/11/22, 30, , , 
2017/11/23, 22, , , 
2017/11/24, 10, , , 
2017/11/25, 17, , , 
2017/11/26, 22, , , 
2017/11/27, 14, , , 
2017/11/28, 15, , , 
2017/11/29, 18, , , 
2017/11/30, 31, , , 
2017/12/1, 26, , , 
2017/12/2, 40, , , 
2017/12/3, 24, , , 
2017/12/4, 16, , , 
2017/12/5, 28, , , 
2017/12/6, 47, , , 
2017/12/7, 50, , , 
2017/12/8, 35, , , 
2017/12/9, 37, , , 
2017/12/10, 49, , , 
2017/12/11, 51, , , 
2017/12/12, 53, , , 
2017/12/13, 61, , , 
2017/12/14, 51, , , 
2017/12/15, 46, , , 
2017/12/16, 33, , , 
2017/12/17, 26, , , 
2017/12/18, 43, , , 
2017/12/19, 48, , , 
2017/12/20, 10, , , 
2017/12/21, 19, , , 
2017/12/22, 12, , , 
2017/12/23, 16, , , 
2017/12/24, 27, , , 
2017/12/25, 24, , , 
2017/12/26, 29, , , 
2017/12/27, 37, , , 
2017/12/28, 29, , , 
2017/12/29, 17, , , 
2017/12/30, 12, , , 
2017/12/31, 27, , , 
2017/7/1, 31, , , 
2017/7/2, 36, , , 
2017/7/3, 43, , , 
2017/7/4, 44, , , 
2017/7/5, 64, , , 
2017/7/6, 39, , , 
2017/7/7, 44, , , 
2017/7/8, 37, , , 
2017/7/9, 38, , , 
2017/7/10, 35, , , 
2017/7/11, 37, , , 
2017/7/12, 26, , , 
2017/7/13, 39, , , 
2017/7/14, 41, , , 
2017/7/15, 34, , , 
2017/7/16, 43, , , 
2017/7/17, 38, , , 
2017/7/18, 37, , , 
2017/7/19, 43, , , 
2017/7/20, 51, , , 
2017/7/21, 36, , , 
2017/7/22, 36, , , 
2017/7/23, 37, , , 
2017/7/24, 34, , , 
2017/7/25, 38, , , 
2017/7/26, 32, , , 
2017/7/27, 29, , , 
2017/7/28, 24, , , 
2017/7/29, 29, , , 
2017/7/30, 29, , , 
2017/7/31, 29, , , 
2017/8/1, 44, , , 
2017/8/2, 65, , , 
2017/8/3, 67, , , 
2017/8/4, 74, , , 
2017/8/5, 79, , , 
2017/8/6, 95, , , 
2017/8/7, 74, , , 
2017/8/8, 82, , , 
2017/8/9, 66, , , 
2017/8/10, 76, , , 
2017/8/11, 93, , , 
2017/8/12, 42, , , 
2017/8/13, 39, , , 
2017/8/14, 34, , , 
2017/8/15, 31, , , 
2017/8/16, 35, , , 
2017/8/17, 39, , , 
2017/8/18, 33, , , 
2017/8/19, 31, , , 
2017/8/20, 45, , , 
2017/8/21, 34, , , 
2017/8/22, 44, , , 
2017/8/23, 31, , , 
2017/8/24, 32, , , 
2017/8/25, 44, , , 
2017/8/26, 55, , , 
2017/8/27, 48, , , 
2017/8/28, 46, , , 
2017/8/29, 45, , , 
2017/8/30, 46, , , 
2017/8/31, 32, , , 
2017/9/1, 73, , , 
2017/9/2, 80, , , 
2017/9/3, 64, , , 
2017/9/4, 72, , , 
2017/9/9, 28, , , 
2017/9/10, 39, , , 
2017/9/11, 45, , , 
2017/9/12, 39, , , 
2017/9/13, 27, , , 
2017/9/14, 22, , , 
2017/9/15, 37, , , 
2017/9/16, 17, , , 
2017/9/17, 29, , , 
2017/9/18, 34, , , 
2017/9/19, 18, , , 
2017/9/20, 9, , , 
2017/9/21, 10, , , 
2017/9/22, 14, , , 
2017/9/23, 17, , , 
2017/9/24, 11, , , 
2017/9/25, 20, , , 
2017/9/26, 21, , , 
2017/9/27, 24, , , 
2017/9/28, 24, , , 
2017/9/29, 22, , , 
2017/9/30, 22, , , 
2017/4/1, 17, , , 
2017/4/2, 16, , , 
2017/4/3, 17, , , 
2017/4/4, 16, , , 
2017/4/5, 19, , , 
2017/4/6, 22, , , 
2017/4/7, 21, , , 
2017/4/8, 12, , , 
2017/4/9, 15, , , 
2017/4/10, 19, , , 
2017/4/11, 26, , , 
2017/4/12, 26, , , 
2017/4/13, 23, , , 
2017/4/14, 15, , , 
2017/4/15, 12, , , 
2017/4/16, 25, , , 
2017/4/17, 20, , , 
2017/4/18, 14, , , 
2017/4/19, 20, , , 
2017/4/20, 27, , , 
2017/4/21, 16, , , 
2017/4/22, 18, , , 
2017/4/23, 22, , , 
2017/4/24, 15, , , 
2017/4/25, 13, , , 
2017/4/26, 15, , , 
2017/4/27, 11, , , 
2017/4/28, 17, , , 
2017/4/29, 16, , , 
2017/4/30, 16, , , 
2017/5/1, 18, , , 
2017/5/2, 15, , , 
2017/5/3, 19, , , 
2017/5/4, 26, , , 
2017/5/5, 22, , , 
2017/5/6, 21, , , 
2017/5/7, 26, , , 
2017/5/8, 27, , , 
2017/5/9, 30, , , 
2017/5/10, 28, , , 
2017/5/11, 30, , , 
2017/5/12, 33, , , 
2017/5/13, 19, , , 
2017/5/14, 11, , , 
2017/5/15, 18, , , 
2017/5/16, 16, , , 
2017/5/17, 15, , , 
2017/5/18, 18, , , 
2017/5/19, 20, , , 
2017/5/20, 25, , , 
2017/5/21, 20, , , 
2017/5/22, 30, , , 
2017/5/23, 27, , , 
2017/5/24, 35, , , 
2017/5/25, 18, , , 
2017/5/26, 19, , , 
2017/5/27, 20, , , 
2017/5/28, 22, , , 
2017/5/29, 28, , , 
2017/5/30, 28, , , 
2017/5/31, 27, , , 
2017/6/1, 27, , , 
2017/6/2, 26, , , 
2017/6/3, 30, , , 
2017/6/4, 38, , , 
2017/6/5, 35, , , 
2017/6/6, 33, , , 
2017/6/7, 33, , , 
2017/6/8, 34, , , 
