date, pm25, o3, so2, co
2018/9/1, 28, 17, 1, 
2018/9/2, 37, 21, 1, 
2018/9/3, 29, 19, 1, 
2018/9/4, 30, 18, 1, 
2018/9/5, 18, 25, 1, 
2018/9/6, 31, 22, 1, 
2018/9/7, 37, 27, 1, 
2018/9/8, 35, 20, 1, 
2018/9/9, 34, 16, 1, 
2018/9/10, 23, 22, 1, 
2018/9/11, 31, 26, 1, 
2018/9/12, 25, 27, 1, 
2018/9/13, 37, 32, 1, 1
2018/9/14, 44, 33, 1, 
2018/9/15, 41, 29, 1, 1
2018/9/18, 35, 33, 1, 
2018/9/19, 48, 37, 1, 
2018/9/20, 59, 23, 1, 
2018/9/21, 37, 25, 1, 
2018/9/22, 33, 26, 1, 
2018/9/23, 33, 22, 2, 
2018/9/24, 30, 22, 1, 
2018/9/25, 26, 14, 1, 
2018/9/26, 24, 16, 1, 
2018/9/27, 23, 19, 1, 2
2018/9/28, 28, 25, 1, 2
2018/9/29, 38, 22, 1, 
2018/9/30, 41, 25, 1, 
2018/4/1, 34, 42, 2, 
2018/4/2, 39, 33, 2, 
2018/4/3, 36, 36, 1, 
2018/4/4, 25, 40, 1, 
2018/4/5, 25, 30, , 
2018/4/6, 33, 27, , 
2018/4/7, 27, 35, , 
2018/4/8, 37, 37, , 
2018/4/9, 28, 40, , 
2018/4/10, 28, 39, , 
2018/4/11, 45, 42, 1, 1
2018/4/12, 46, 36, , 
2018/4/13, 40, 29, , 1
2018/4/14, 42, 28, , 1
2018/4/15, 27, 17, , 8
2018/4/16, 30, 44, , 12
2018/4/17, 34, 37, , 12
2018/4/18, 36, 39, , 5
2018/4/19, 27, 36, , 1
2018/4/20, 32, 39, , 1
2018/4/21, 60, 36, , 
2018/4/22, 33, 26, , 1
2018/4/23, 36, 34, , 1
2018/4/24, 35, 45, , 1
2018/4/25, 46, 31, , 
2018/4/26, 31, 41, , 1
2018/4/27, 49, 47, , 2
2018/4/28, 47, 39, , 1
2018/4/29, 33, 46, , 1
2018/4/30, 31, 35, , 1
