date, pm25, o3, co
2018/5/31, 33, 25, 
2018/6/1, 21, 23, 
2018/6/2, 14, 29, 
2018/6/3, 19, 23, 
2018/6/4, 19, 19, 
2018/6/5, 10, 25, 
2018/6/6, 18, 21, 
2018/6/7, 19, 26, 
2018/6/8, 19, 25, 
2018/6/9, 12, 24, 
2018/6/10, 18, 25, 
2018/6/11, 18, 33, 
2018/6/12, 32, 26, 
2018/6/13, 30, 16, 
2018/6/14, 11, 21, 
2018/6/15, 16, 25, 
2018/6/16, 27, 30, 
2018/6/17, 39, 27, 
2018/6/18, 42, 25, 
2018/6/19, 15, 22, 
2018/6/20, 20, 22, 
2018/6/21, 19, 30, 
2018/6/22, 24, 30, 
2018/6/23, 33, 22, 
2018/6/24, 34, 21, 
2018/6/25, 24, 31, 
2018/6/26, 24, 41, 
2018/6/27, 27, 28, 
2018/6/28, 20, 31, 
2018/6/29, 33, 30, 
2018/6/30, 35, 28, 
2018/1/1, 31, 23, 
2018/1/2, 42, 21, 
2018/1/3, 49, 23, 
2018/1/4, 48, 22, 
2018/1/5, 33, 23, 
2018/1/6, 28, 23, 
2018/1/7, 29, 23, 
2018/1/8, 37, 21, 
2018/1/9, 53, 19, 
2018/1/10, 46, 21, 
2018/1/11, 50, 22, 
2018/1/12, 18, 24, 
2018/1/13, 25, 22, 
2018/1/14, 35, 22, 
2018/1/15, 36, 23, 
2018/1/16, 28, 20, 
2018/1/17, 60, 19, 
2018/1/18, 64, 15, 
2018/1/19, 84, 23, 
2018/1/20, 51, 25, 
2018/1/21, 25, 27, 
2018/1/22, 23, 25, 
2018/1/23, 21, 25, 
2018/1/24, 25, 24, 
2018/1/25, 21, 23, 
2018/1/26, 26, 22, 
2018/1/27, 41, 23, 
2018/1/28, 43, 22, 
2018/1/29, 27, 23, 
2018/1/30, 26, 22, 
2018/1/31, 30, 21, 
2018/2/1, 40, 22, 
2018/2/2, 30, 24, 
2018/2/3, 30, 23, 
2018/2/4, 41, 24, 
2018/2/5, 34, 25, 
2018/2/6, 41, 23, 
2018/2/7, 38, 23, 
2018/2/8, 41, 25, 
2018/2/9, 57, 24, 
2018/2/10, 57, 24, 
2018/2/11, 39, 25, 
2018/2/12, 28, 25, 
2018/2/13, 33, 25, 
2018/2/14, 52, 24, 
2018/2/15, 76, 26, 
2018/2/16, 42, 25, 
2018/2/17, 27, 26, 
2018/2/18, 44, 28, 
2018/2/19, 44, 24, 
2018/2/20, 42, 23, 
2018/2/21, 25, 25, 
2018/2/22, 25, 25, 
2018/2/23, 30, 26, 
2018/2/24, 31, 26, 
2018/2/25, 18, 28, 
2018/2/26, 20, 28, 
2018/2/27, 22, 27, 
2018/2/28, 32, 26, 
2018/3/1, 20, 25, 
2018/3/2, 32, 25, 
2018/3/3, 22, 26, 
2018/3/4, 28, 27, 
2018/3/5, 21, 28, 
2018/3/6, 21, 29, 
2018/3/7, 26, 28, 
2018/3/8, 22, 27, 
2018/3/9, 17, 28, 
2018/3/10, 24, 27, 
2018/3/11, 19, 25, 
2018/3/12, 26, 28, 
2018/3/13, 21, 27, 
2018/3/14, 20, 26, 
2018/3/15, 23, 26, 
2018/3/16, 27, 27, 
2018/3/17, 28, 26, 
2018/3/18, 31, 24, 
2018/3/19, 27, 25, 
2018/3/20, 28, 26, 
2018/3/21, 26, 28, 
2018/3/22, 25, 29, 
2018/3/23, 19, 28, 
2018/3/24, 23, 28, 
2018/3/25, 25, 30, 
2018/3/26, 24, 31, 
2018/3/27, 24, 30, 
2018/3/28, 25, 28, 
2018/3/29, 39, 26, 
2018/3/30, 26, 30, 
2018/3/31, 21, 28, 
2017/10/1, 20, 22, 
2017/10/2, 26, 20, 
2017/10/3, 27, 27, 
2017/10/4, 26, 16, 
2017/10/5, 8, 18, 
2017/10/6, 12, 17, 
2017/10/7, 21, 18, 
2017/10/8, 19, 12, 
2017/10/9, 15, 12, 
2017/10/10, 23, 17, 
2017/10/11, 21, 18, 
