date, pm25, pm10, no2, so2, co
2018/7/6, 81, 24, 10, 4, 10
2018/7/7, 71, 35, 18, 5, 9
2018/7/8, 65, 43, 20, 5, 9
2018/7/9, 74, 23, 13, 4, 9
2018/7/10, 57, 18, 10, 4, 10
2018/7/11, 35, 55, 18, 6, 11
2018/7/12, 97, 54, 16, 7, 10
2018/7/13, 85, 31, 15, 5, 7
2018/7/14, 57, 46, 15, 3, 11
2018/7/15, 79, 52, 14, 5, 10
2018/7/16, 92, 18, 10, 5, 9
2018/7/17, 40, 49, 16, 5, 10
2018/7/18, 83, 47, 12, 3, 9
2018/7/19, 94, 36, 9, 2, 10
2018/7/20, 88, 28, 10, 2, 9
2018/7/21, 67, 39, 15, 2, 9
2018/7/22, 72, 38, 11, 2, 11
2018/7/23, 77, 19, 12, 1, 9
2018/7/24, 47, 12, 10, 2, 9
2018/7/25, 23, 24, 15, 2, 9
2018/7/26, 37, 58, 17, 2, 10
2018/7/27, 105, 50, 10, 3, 10
2018/7/28, 99, 61, 12, 2, 11
2018/7/29, 120, 63, 14, 2, 11
2018/7/30, 125, 47, 12, 3, 10
2018/7/31, 87, 43, 10, 3, 9
2018/8/1, 80, 55, 10, 3, 9
2018/8/2, 112, 59, 12, 4, 11
2018/8/3, 128, 53, 13, 2, 10
2018/8/4, 106, 52, 15, 3, 9
2018/8/5, 77, 38, 10, 3, 9
2018/8/6, 93, 11, 10, 2, 8
2018/8/7, 33, 19, 11, 2, 8
2018/8/8, 39, 30, 17, 6, 8
2018/8/9, 57, 38, 15, 2, 8
2018/8/10, 61, 27, 11, 2, 8
2018/8/11, 62, 37, 16, 3, 9
2018/8/12, 63, 33, 15, 2, 8
2018/8/13, 55, 23, 12, 2, 8
2018/8/14, 42, 21, 14, 2, 7
2018/8/15, 37, 39, 15, 3, 9
2018/8/16, 57, 13, 11, 2, 7
2018/8/17, 25, 25, 17, 2, 7
2018/8/18, 40, 33, 19, 2, 8
2018/8/19, 60, 45, 19, 3, 8
2018/8/20, 65, 30, 8, 2, 6
2018/8/21, 61, 48, 19, 4, 8
2018/8/22, 82, 48, 19, 3, 8
2018/8/23, 77, 39, 17, 3, 9
2018/8/24, 66, 45, 17, 3, 9
2018/8/25, 81, 39, 15, 4, 9
2018/8/26, 81, 56, 18, 5, 11
2018/8/27, 100, 15, 6, 3, 7
2018/8/28, 34, 14, 8, 2, 7
2018/8/29, 33, 13, 6, 2, 7
2018/8/30, 37, 22, 11, 3, 10
2018/8/31, 53, 20, 11, 2, 9
