date, pm25, o3, no2, co
2018/12/22, 11, , , 
2018/12/23, 6, , , 
2018/12/24, 34, , , 
2018/12/25, 8, , , 
2018/12/26, 15, , , 
2018/12/27, 11, , , 
2018/12/28, 12, , , 
2018/12/29, 21, , , 
2018/12/30, 23, , , 
2017/10/1, 50, , , 
2017/10/2, 53, , , 
2017/10/3, 58, , , 
2017/10/4, 58, , , 
2017/10/5, 59, , , 
2017/10/6, 58, , , 
2017/10/7, 58, , , 
2017/10/8, 58, , , 
2017/10/9, 58, , , 
2017/10/10, 59, , , 
2017/10/11, 58, , , 
2017/10/12, 59, , , 
2017/10/13, 58, , , 
2017/10/14, 59, , , 
2017/10/15, 59, , , 
2017/10/16, 59, , , 
2017/10/17, 60, , , 
2017/10/18, 58, 4, , 
2017/10/19, 60, 5, , 
2017/10/20, 58, 3, , 
2017/10/21, 49, 2, , 
2017/10/22, 58, , , 
2017/10/24, 58, 3, , 
2017/10/25, 59, 2, , 
2017/10/26, 58, , , 
2017/7/1, 27, 4, , 
2017/7/2, 26, 6, , 
2017/7/3, 41, 6, , 
2017/7/4, 23, 7, , 
2017/7/5, 40, 5, , 
2017/7/6, 35, 5, , 
2017/7/7, 37, 4, , 
2017/7/8, 32, 5, , 
2017/7/9, 36, 6, , 
2017/7/10, 36, 3, , 
2017/7/11, 28, 2, , 
2017/7/12, 27, 5, , 
2017/7/13, 44, 4, , 
2017/7/14, 29, 5, , 
2017/7/15, 35, 5, , 
2017/7/16, 55, 6, , 
2017/7/17, 47, 4, , 
2017/7/18, 56, 6, , 
2017/7/19, 37, 5, , 
2017/7/20, 47, 9, , 
2017/7/21, 37, 5, , 
2017/7/22, 48, 5, , 
2017/7/23, 34, 7, , 
2017/7/24, 33, 4, , 
2017/7/25, 27, 4, , 
2017/7/26, 37, 5, , 
2017/7/27, 61, 6, , 
2017/7/28, 67, 6, , 
2017/7/29, 41, 6, , 
2017/7/30, 35, 6, , 
2017/7/31, 33, 5, , 
2017/8/1, 49, 5, , 
2017/8/2, 50, 5, , 
2017/8/3, 55, 4, , 
2017/8/4, 43, 5, , 
2017/8/5, 54, 6, , 
2017/8/6, 55, 5, , 
2017/8/7, 54, 5, , 
2017/8/8, 41, 3, , 
2017/8/9, 33, 5, , 
2017/8/10, 50, 6, , 
2017/8/11, 54, 6, , 
2017/8/12, 62, 6, , 
2017/8/13, 62, 5, , 
2017/8/14, 54, 6, , 
2017/8/15, 65, 6, , 
2017/8/16, 42, 5, , 
2017/8/17, 45, 5, , 
2017/8/18, 58, 8, , 
2017/8/19, 64, 5, , 
2017/8/20, 58, 5, , 
2017/8/21, 49, 3, , 
2017/8/22, 51, 3, , 
2017/8/23, 51, 6, , 
2017/8/24, 56, 5, , 
2017/8/25, 49, 4, , 
2017/8/26, 35, 5, , 
2017/8/27, 51, 1, , 
2017/8/28, 53, , , 
2017/8/29, 51, , , 
2017/8/30, 66, , , 
2017/8/31, 79, , , 
2017/9/1, 58, , , 
2017/9/2, 64, , , 
2017/9/3, 64, , , 
2017/9/4, 64, , , 
2017/9/5, 55, , , 
2017/9/10, 45, , , 
2017/9/11, 58, , , 
2017/9/12, 59, , , 
2017/9/13, 67, , , 
2017/9/14, 56, , , 
2017/9/15, 56, , , 
2017/9/16, 56, , , 
2017/9/17, 58, , , 
2017/9/18, 57, , , 
2017/9/19, 43, , , 
2017/9/20, 51, , , 
2017/9/21, 55, , , 
2017/9/22, 54, , , 
2017/9/23, 55, , , 
2017/9/24, 54, , , 
2017/9/25, 57, , , 
2017/9/26, 56, , , 
2017/9/27, 57, , , 
2017/9/28, 57, , , 
2017/9/29, 58, , , 
2017/9/30, 57, , , 
2017/4/1, 15, 2, 1, 
2017/4/2, 25, 2, 1, 
2017/4/3, 27, 3, 1, 
2017/4/4, 28, 2, 1, 
2017/4/5, 21, 3, 1, 
2017/4/6, 20, 3, 1, 
2017/4/7, 31, 2, , 
2017/4/8, 35, 2, , 
2017/4/11, 30, 3, 1, 
2017/4/12, 42, 3, 1, 
2017/4/13, 36, 3, , 
2017/4/14, 44, 2, , 
2017/4/15, 29, 1, , 
2017/4/16, 15, 1, , 
2017/4/17, 13, 1, , 
2017/4/18, 16, 1, , 
2017/4/19, 26, 2, , 
2017/4/20, 39, 1, 1, 
2017/4/21, 30, 4, , 
2017/4/22, 29, 3, , 
2017/4/23, 16, 4, , 
2017/4/24, 15, 4, , 
2017/4/25, 13, 4, , 
2017/4/26, 14, 4, , 
2017/4/27, 14, 3, , 
2017/4/28, 35, 3, 1, 
2017/4/29, 54, 3, , 
2017/4/30, 21, 3, , 
2017/5/1, 25, 2, , 
2017/5/2, 31, 2, , 
2017/5/3, 44, 2, , 
2017/5/4, 45, 3, , 
2017/5/5, 36, 2, , 
2017/5/6, 21, 4, , 
2017/5/7, 17, 4, , 
2017/5/8, 24, 2, , 
2017/5/9, 17, 3, , 
2017/5/10, 27, 2, , 
2017/5/11, 24, 2, , 
2017/5/12, 15, 3, , 
2017/5/13, 17, 3, , 
2017/5/14, 18, 3, , 
2017/5/15, 35, 2, , 
2017/5/23, 21, 3, , 
2017/5/24, 31, 3, , 
2017/5/25, 22, 2, , 
2017/5/26, 23, 1, , 
2017/5/27, 24, 1, , 
2017/5/28, 19, 1, , 
2017/5/29, 14, 1, , 
2017/5/30, 15, 2, , 
2017/5/31, 19, 3, 1, 
2017/6/1, 35, 3, 1, 
2017/6/2, 65, 1, 2, 
2017/6/3, 26, , 2, 
2017/6/4, 29, 7, 1, 
2017/6/5, 21, 7, 1, 
2017/6/6, 28, 6, , 
2017/6/7, 25, 6, , 
2017/6/8, 24, 6, , 
2017/6/9, 29, 6, , 
2017/6/10, 26, 7, , 
2017/6/11, 24, 7, , 
2017/6/12, 23, 8, , 
2017/6/13, 22, 6, , 
2017/6/14, 18, 4, , 
2017/6/15, 19, 3, , 
2017/6/16, 21, 3, , 
2017/6/17, 22, 4, , 
2017/6/18, 21, 5, , 
2017/6/19, 24, 7, , 
2017/6/20, 24, 5, , 
2017/6/21, 28, 4, , 
2017/6/22, 25, 3, , 
2017/6/23, 22, 3, , 
2017/6/24, 24, 5, , 
2017/6/25, 26, 6, , 
2017/6/26, 26, 10, , 
2017/6/27, 27, 7, , 
2017/6/28, 16, 6, , 
2017/6/29, 39, 3, , 
2017/6/30, 25, 3, , 
2017/1/2, 34, 8, 1, 
2017/1/3, 13, 7, 5, 
2017/1/4, 25, 7, 3, 
2017/1/5, 25, 7, 4, 
2017/1/6, 24, 7, 3, 
2017/1/7, 16, 7, 2, 
2017/1/8, 24, , , 
2017/1/10, 20, 6, 3, 
2017/1/11, 26, 8, 2, 
2017/1/12, 22, 8, 3, 
2017/1/13, 29, 8, 5, 
2017/1/14, 43, 9, 2, 
2017/1/15, 31, 5, 7, 
2017/1/16, 47, 8, 3, 
2017/1/17, 51, 10, 3, 
2017/1/18, 31, 10, 1, 
2017/1/19, 49, 3, 1, 
2017/1/20, 36, 3, 1, 
2017/1/21, 22, 1, 1, 
2017/1/22, 39, 2, 1, 
2017/1/23, 30, 2, 1, 
2017/1/24, 19, 1, 1, 
2017/1/25, 17, 1, 1, 
2017/1/26, 20, 1, 2, 
2017/1/27, 35, 2, 1, 
2017/1/28, 12, 2, 1, 
2017/1/29, 15, 1, 1, 
2017/1/30, 46, 2, 1, 
2017/1/31, 23, 2, 2, 
2017/2/1, 18, 2, 2, 
2017/2/2, 21, 2, 3, 
2017/2/3, 25, 2, 3, 
2017/2/4, 40, 2, 2, 
2017/2/5, 21, 2, 1, 
2017/2/6, 17, 1, 3, 
2017/2/7, 21, 1, 3, 
2017/2/8, 30, 2, 2, 
2017/2/9, 35, 2, 2, 
2017/2/10, 27, 1, 2, 
2017/2/11, 39, 1, 2, 
2017/2/12, 32, 1, 2, 
2017/2/13, 21, 2, 2, 
2017/2/14, 18, 2, 3, 
2017/2/15, 23, 2, 2, 
2017/2/16, 30, 1, 1, 
2017/2/17, 43, 1, 1, 
2017/2/18, 34, 3, , 
2017/2/19, 20, 2, 1, 
2017/2/20, 31, , 1, 
2017/2/21, 50, 2, , 
2017/2/22, 26, 2, , 
2017/2/23, 22, 3, 1, 
2017/2/24, 25, 2, 2, 
2017/2/25, 29, 2, 1, 
2017/2/26, 27, 3, 2, 
2017/2/27, 34, 2, 1, 
2017/2/28, 28, 3, 1, 
2017/3/1, 25, 3, 1, 
2017/3/2, 21, 3, 1, 
2017/3/3, 27, 3, , 
2017/3/4, 32, 2, 1, 
2017/3/5, 57, 2, , 
2017/3/6, 47, 2, 1, 
2017/3/7, 25, 4, , 
2017/3/8, 21, 3, , 
2017/3/9, 26, 3, , 
2017/3/10, 26, 3, , 
2017/3/11, 22, 3, , 
2017/3/12, 19, 2, 1, 
2017/3/13, 23, 3, 3, 
2017/3/14, 39, 3, 1, 
2017/3/15, 35, 2, 1, 
2017/3/16, 56, 1, , 
2017/3/17, 35, 2, , 
2017/3/18, 24, 2, , 
2017/3/19, 30, 3, 1, 
2017/3/20, 19, 3, , 
2017/3/21, 19, 3, 1, 
2017/3/22, 22, 2, 1, 
2017/3/23, 37, 3, , 
2017/3/24, 21, 2, 1, 
2017/3/25, 26, 2, , 
2017/3/26, 38, 2, 1, 
2017/3/27, 26, 3, , 
2017/3/28, 19, 2, 1, 
2017/3/29, 24, 2, 1, 
2017/3/30, 28, 2, 1, 
2017/3/31, 32, 2, 1, 
2017/10/23, , 4, , 
2017/4/9, , 3, , 
2017/4/10, , 2, 1, 
2017/5/16, , 1, , 
2017/5/17, , 3, , 
2017/5/18, , 3, , 
2017/5/19, , 3, , 
2017/5/20, , 3, , 
2017/5/21, , 2, , 
2017/5/22, , 2, , 
2017/1/1, , 8, 2, 
2017/1/9, , 7, 1, 
2017/9/9, , , , 
