date, pm25, pm10, o3, co
2019/1/31, 44, , , 
2019/2/1, 51, 29, , 
2019/2/2, 24, , , 
2019/2/3, 17, 2, , 
2019/2/4, 15, , , 
2019/2/5, 22, , , 
2019/2/6, 26, 4, , 
2019/2/7, 27, , , 
2019/2/8, 25, , , 
2019/2/9, 14, , , 
2019/2/10, 25, , , 
2019/2/11, 22, , , 
2019/2/12, 29, , , 
2019/2/14, 13, , , 
2019/2/15, 22, , , 
2019/2/16, 25, 3, , 
2019/2/17, 11, , , 
2019/2/18, 25, 8, , 
2019/2/19, 39, , , 
2019/2/20, 22, , , 
2019/2/21, 27, , , 
2019/2/22, 27, , , 
2019/2/23, 16, , , 
2019/2/24, 19, , , 
2019/2/25, 11, , , 
2019/2/26, 16, , , 
2019/3/1, 30, 5, , 
2019/3/2, 21, , , 
2019/3/3, 12, , , 
2019/3/4, 14, , , 
2019/3/5, 11, , , 
2019/3/6, 13, , , 
2019/3/7, 24, 13, , 
2019/3/8, 32, 5, , 
2019/3/9, 17, , , 
2019/3/10, 30, , , 
2019/3/11, 25, , , 
2019/3/12, 25, 4, , 
2019/3/13, 25, , , 
2019/3/14, 29, , , 
2019/3/15, 35, , , 
2019/3/16, 48, , , 
2019/3/17, 49, , , 
2019/3/18, 50, , , 
2019/3/19, 65, , , 
2019/3/20, 32, , , 
2019/3/21, 40, , , 
2019/3/22, 35, , , 
2019/3/23, 36, , , 
2019/3/24, 25, , , 
2019/3/25, 21, , , 
2019/3/26, 23, , , 
2019/3/27, 19, , , 
2019/3/28, 14, , , 
2019/3/29, 16, , , 
2019/3/30, 27, , , 
2019/3/31, 24, , 4, 
2018/10/1, 34, , , 
2018/10/2, 44, , , 
2018/10/3, 21, , , 
2018/10/4, 29, , , 
2018/10/5, 28, , , 
2018/10/6, 21, , , 
2018/10/7, 29, , , 
2018/10/8, 26, , , 
2018/10/9, 7, , , 
2018/10/10, 11, , , 
2018/10/11, 25, , , 
2018/10/12, 31, , , 
2018/10/13, 21, , , 
2018/10/14, 19, , , 
2018/10/15, 23, , , 
2018/10/16, 29, , , 
2018/10/17, 43, , , 
2018/10/18, 44, , , 
2018/10/19, 48, , , 
2018/10/20, 42, , , 
2018/10/21, 49, , , 
2018/10/22, 54, , , 
2018/10/23, 67, , , 
2018/10/24, 37, , , 
2018/10/25, 33, , , 
2018/10/26, 21, , , 
2018/10/27, 20, , , 
2018/10/28, 16, , , 
2018/10/29, 10, , , 
2018/10/30, 19, , , 
2018/10/31, 35, , , 
2018/11/1, 16, , , 
2018/11/2, 11, , , 
2018/11/3, 20, , , 
2018/11/5, 24, , , 
2018/11/6, 20, , , 
2018/11/7, 42, , , 
2018/11/8, 58, , , 
2018/11/9, 74, , , 
2018/11/10, 60, , , 
2018/11/11, 67, , , 
2018/11/12, 79, , , 
2018/11/13, 62, , , 
2018/11/14, 67, , , 
2018/11/15, 41, , , 
2018/11/16, 35, , , 
2018/11/17, 46, , , 
2018/11/18, 57, , , 
2018/11/19, 49, , , 
2018/11/20, 54, , , 
2018/11/21, 64, , , 
2018/11/22, 55, , , 
2018/11/23, 15, , , 
2018/11/24, 18, , , 
2018/11/25, 16, , , 
2018/11/26, 35, , , 
2018/11/27, 21, , , 
2018/11/28, 29, , , 
2018/11/29, 31, , , 
2018/11/30, 17, , , 
2018/12/1, 14, , , 
2018/12/2, 29, , , 
2018/12/3, 32, , , 
2018/12/4, 37, , , 
2018/12/5, 28, , , 
2018/12/6, 35, , , 
2018/12/7, 54, , , 
2018/12/8, 49, , , 
2018/12/9, 38, , , 
2018/12/10, 26, , , 
2018/12/11, 21, , , 
2018/12/12, 22, , , 
2018/12/13, 19, , , 
2018/12/14, 23, , , 
2018/12/15, 19, , , 
2018/12/16, 14, , , 
