date, pm25, pm10, so2
2018/1/6, , 26, 2
2018/1/13, , 10, 2
2018/1/20, , 20, 3
2018/1/28, , 49, 4
2018/2/3, , 7, 2
2018/2/9, , 16, 3
2018/2/17, , 11, 1
2018/2/19, , 11, 1
2018/2/24, , 18, 2
2018/3/2, , 36, 2
2018/3/10, , 16, 5
2018/3/17, , 5, 1
2018/3/23, , 18, 
2019/9/15, , , 2
2019/9/16, , , 1
2019/9/17, , , 1
2019/1/23, , , 3
2019/1/28, , , 2
2019/1/29, , , 3
2019/1/30, , , 3
2019/2/4, , , 1
2018/12/7, , , 2
2018/8/11, , , 2
2018/8/15, , , 
