date, pm25, o3, no2, co
2018/6/21, 32, , 3, 1
2018/6/22, 31, , 3, 1
2018/6/23, 20, , 4, 1
2018/6/24, 27, , 5, 1
2018/6/25, 23, , 5, 1
2018/6/26, 24, , 6, 2
2018/6/27, 27, , , 2
2018/6/28, 44, , , 2
2018/6/29, 62, , , 2
2018/6/30, 63, , , 2
2018/1/1, 34, , , 
2018/1/2, 35, , , 
2018/1/3, 43, , , 
2018/1/4, 39, , , 
2018/1/5, 34, , , 
2018/1/6, 39, , , 
2018/1/7, 38, , , 
2018/1/8, 48, , , 
2018/1/9, 49, , , 
2018/1/10, 44, , , 
2018/1/11, 35, , , 
2018/1/12, 26, , , 
2018/1/13, 34, , , 
2018/1/14, 40, , , 
2018/1/15, 33, , , 
2018/1/16, 50, , , 
2018/1/17, 50, , , 
2018/1/18, 51, , , 
2018/1/19, 48, , , 
2018/1/20, 51, , , 
2018/1/21, 58, , , 
2018/1/22, 47, , , 
2018/1/23, 30, , , 
2018/1/24, 34, , , 
2018/1/25, 35, , , 
2018/1/26, 42, , , 
2018/1/27, 43, 25, 5, 
2018/1/28, 40, 23, 3, 
2018/1/29, 24, 25, 6, 
2018/1/30, 30, 28, 8, 
2018/1/31, 27, 25, 5, 
2018/2/1, 37, 28, 5, 
2018/2/2, 20, 25, 2, 
2018/2/3, 27, , , 
2018/2/4, 32, , , 
2018/2/5, 32, , , 
2018/2/6, 43, , , 
2018/2/7, 41, , , 
2018/2/8, 47, , , 
2018/2/9, 47, , , 
2018/2/10, 47, , , 
2018/2/11, 43, , , 
2018/2/12, 43, , , 
2018/2/13, 41, , , 
2018/2/14, 54, , , 
2018/2/15, 34, , , 
2018/2/16, 39, , , 
2018/2/17, 27, , , 
2018/2/18, 51, , , 
2018/2/19, 34, , , 
2018/2/20, 41, , , 
2018/2/21, 35, , , 
2018/2/22, 21, , , 
2018/2/23, 18, , , 
2018/2/24, 21, , , 
2018/2/25, 28, , , 
2018/2/26, 35, , , 
2018/2/27, 29, , , 
2018/2/28, 34, , , 
2018/3/1, 27, , , 
2018/3/2, 27, , , 
2018/3/3, 23, , , 
2018/3/4, 19, , , 
2018/3/5, 24, , , 
2018/3/6, 23, , , 
2018/3/7, 36, , , 
2018/3/8, 19, , , 
2018/3/9, 21, , , 
2018/3/10, 18, , , 
2018/3/11, 25, , , 
2018/3/12, 31, , , 
2018/3/13, 26, , , 
2018/3/14, 19, , , 
2018/3/15, 33, , , 
2018/3/16, 26, , , 
2018/3/17, 28, , , 
2018/3/18, 27, , , 
2018/3/19, 18, , , 
2018/3/20, 25, , , 
2018/3/21, 26, , , 
2018/3/22, 26, , , 
2018/3/23, 27, , , 
2018/3/24, 24, , , 
2018/3/25, 23, , , 
2018/3/26, 28, , , 
2018/3/27, 17, , , 
2018/3/28, 28, , , 
2018/3/29, 27, , , 
2018/3/30, 28, , , 
2018/3/31, 20, , , 
2017/10/1, 31, , 13, 
2017/10/2, 36, , 16, 
2017/10/3, 41, , 7, 
2017/10/4, 39, , 7, 
2017/10/5, 25, , 9, 
2017/10/6, 36, , 4, 
2017/10/7, 43, , 4, 
2017/10/8, 25, , 4, 
2017/10/9, 23, , 7, 
2017/10/10, 48, , 5, 
2017/10/11, 17, , 6, 
2017/10/12, 19, , 7, 
2017/10/13, 28, , 6, 
2017/10/14, 42, , 2, 
2017/10/15, 41, , 10, 
2017/10/16, 27, , 8, 
2017/10/17, 33, , 12, 
2017/10/18, 41, , 9, 
2017/10/19, 41, , 19, 
2017/10/20, 43, , 21, 
2017/10/21, 74, , 11, 
2017/10/22, 58, , 6, 
2017/10/23, 41, , 5, 
2017/10/24, 19, , 11, 
2017/10/25, 24, , 18, 
2017/10/26, 34, , 15, 
2017/10/27, 47, , 10, 
2017/10/28, 34, , 6, 
2017/10/29, 20, , 3, 
2017/10/30, 29, , 6, 
2017/10/31, 29, , 13, 
2017/11/1, 34, , 6, 
2017/11/2, 50, , 11, 
2017/11/3, 32, , 7, 
2017/11/4, 22, , 3, 
2017/11/5, 28, , 12, 
2017/11/6, 28, , 12, 
2017/11/7, 28, , , 
2017/11/8, 41, , , 
2017/11/9, 34, , , 
2017/11/10, 24, , , 
2017/11/11, 26, , , 
2017/11/12, 44, , , 
2017/11/13, 52, , , 
2017/11/14, 46, , , 
2017/11/15, 35, , , 
2017/11/16, 26, , , 
2017/11/17, 32, , , 
2017/11/18, 31, , , 
2017/11/19, 26, , , 
2017/11/20, 34, , , 
2017/11/21, 38, , , 
2017/11/22, 25, , , 
2017/11/23, 26, , , 
2017/11/24, 36, , , 
2017/11/25, 39, , , 
2017/11/26, 26, , , 
2017/11/27, 40, , , 
2017/11/28, 41, , , 
2017/11/29, 46, , , 
2017/11/30, 50, , , 
2017/12/1, 39, , , 
2017/12/2, 49, , , 
2017/12/3, 61, , , 
2017/12/4, 57, , , 
2017/12/5, 36, , , 
2017/12/6, 29, , , 
2017/12/7, 29, , , 
2017/12/8, 32, , , 
2017/12/9, 38, , , 
2017/12/10, 34, , , 
2017/12/11, 36, , , 
2017/12/12, 33, , , 
2017/12/13, 27, , , 
2017/12/14, 34, , , 
2017/12/15, 37, , , 
2017/12/16, 36, , , 
2017/12/17, 32, , , 
2017/12/18, 54, , , 
2017/12/19, 51, , , 
2017/12/20, 32, , , 
2017/12/21, 35, , , 
2017/12/22, 40, , , 
2017/12/23, 40, , , 
2017/12/24, 35, , , 
2017/12/25, 41, , , 
2017/12/26, 37, , , 
2017/12/27, 42, , , 
2017/12/28, 48, , , 
2017/12/29, 43, , , 
2017/12/30, 48, , , 
2017/12/31, 40, , , 
2017/7/1, 23, , 4, 
2017/7/2, 42, , 7, 
2017/7/3, 40, , 6, 
2017/7/4, 70, , 6, 
2017/7/5, 52, , 6, 
2017/7/6, 44, , 5, 
2017/7/7, 37, , 3, 
2017/7/8, 23, , 3, 
2017/7/9, 35, , 6, 
2017/7/10, 34, , 7, 
2017/7/11, 31, , 6, 
2017/7/12, 42, , 8, 
2017/7/13, 33, , 5, 
2017/7/14, 38, , 2, 
2017/7/15, 33, , 3, 
2017/7/16, 43, , 5, 
2017/7/17, 39, , 7, 
2017/7/18, 42, , 8, 
2017/7/19, 62, , 9, 
