date, pm25, pm10, o3, so2
2018/11/19, 10, 13, 24, 
2018/11/20, 18, 13, 25, 
2018/11/21, 23, 12, 28, 
2018/11/22, 26, 13, 16, 
2018/11/23, 25, 13, 26, 
2018/11/24, 19, 19, 25, 
2018/11/25, 17, 10, 24, 
2018/11/26, 11, 17, 25, 26
2018/11/27, 20, 16, 30, 
2018/11/28, 20, 14, 21, 
2018/11/29, 18, 10, 18, 
2018/11/30, 13, 20, 31, 2
2018/12/1, 15, 12, 26, 
2018/12/2, 11, 10, 23, 
2018/12/3, 11, 11, 19, 
2018/12/4, 16, 12, 22, 
2018/12/5, 15, 19, 14, 
2018/12/6, 38, 5, 13, 
2018/12/7, 12, 4, 12, 
2018/12/8, 3, 8, 19, 
2018/12/9, 12, 13, 25, 
2018/12/10, 24, 17, 27, 1
2018/12/11, 30, 9, 23, 
2018/12/12, 13, 8, 19, 
2018/12/13, 12, 7, 7, 1
2018/12/14, 9, 8, 17, 
2018/12/15, 11, 11, 16, 1
2018/12/16, 21, 16, 11, 1
2018/12/17, 28, 20, 6, 1
2018/12/18, 44, 14, 17, 1
2018/12/19, 24, 10, 26, 1
2018/12/20, 9, 10, 28, 1
2018/12/21, 15, 14, 34, 1
2018/12/22, 19, 12, 25, 
2018/12/23, 16, 11, 27, 
2018/12/24, 16, 16, 20, 
2018/12/25, 39, 15, 28, 
2018/12/26, 28, 6, 31, 
2018/12/27, 10, 9, 17, 
2018/12/28, 10, 9, 16, 
2018/12/29, 12, 8, 12, 1
2018/12/30, 13, , , 
2018/7/1, 98, 65, 46, 2
2018/7/2, 83, 43, 36, 1
2018/7/3, 61, 14, 29, 
2018/7/4, 37, 14, 28, 
2018/7/5, 39, 15, 26, 
2018/7/6, 31, 14, 35, 
2018/7/7, 26, 9, 31, 
2018/7/8, 22, 9, 37, 
2018/7/9, 27, 23, 30, 2
2018/7/10, 41, 28, 40, 1
2018/7/11, 51, 23, 35, 
2018/7/12, 50, 18, 48, 1
2018/7/13, 38, 16, 37, 2
2018/7/14, 32, 17, 31, 1
2018/7/15, 31, 76, 33, 1
2018/7/16, 71, 84, 45, 3
2018/7/17, 89, 56, 29, 1
2018/7/18, 71, 40, 35, 1
2018/7/19, 54, 35, 39, 2
2018/7/20, 51, 36, 53, 3
2018/7/21, 57, 32, 39, 1
2018/7/22, 54, 15, 39, 1
2018/7/23, 36, 15, 41, 
2018/7/24, 36, 22, 47, 1
2018/7/25, 47, 25, 52, 1
2018/7/26, 53, 28, 57, 6
2018/7/27, 61, 21, 32, 1
2018/7/28, 60, 15, 39, 1
2018/7/29, 43, 16, 42, 1
2018/7/30, 37, 8, 42, 1
2018/7/31, 35, 12, 35, 1
2018/8/1, 122, 16, 40, 1
2018/8/2, 43, 14, 50, 1
2018/8/3, 34, 12, 40, 1
2018/8/4, 28, 16, 36, 2
2018/8/5, 31, 12, 33, 1
2018/8/6, 20, 7, 19, 2
2018/8/7, 14, 9, 29, 1
2018/8/8, 18, 8, 30, 1
2018/8/9, 19, 10, 12, 2
2018/8/10, 22, 13, 31, 1
2018/8/11, 19, 17, 16, 1
2018/8/12, 32, 46, 22, 1
2018/8/13, 64, 61, 22, 1
2018/8/14, 78, 39, 28, 1
2018/8/15, 56, 28, 29, 1
2018/8/16, 40, 25, 31, 1
2018/8/17, 36, 25, 40, 2
2018/8/18, 36, 15, 21, 1
2018/8/19, 24, 21, 37, 2
2018/8/20, 28, 21, 40, 1
2018/8/21, 43, 21, 35, 1
2018/8/22, 40, 29, 56, 1
