date, pm25, pm10, so2, co
2018/10/12, 12, 8, , 4
2018/10/13, 17, 8, , 5
2018/10/14, 22, 9, , 4
2018/10/15, 15, 10, , 4
2018/10/16, 13, 9, , 5
2018/10/17, 14, 7, , 4
2018/10/18, 11, 9, , 5
2018/10/19, 14, 7, , 5
2018/10/20, 11, 7, , 4
2018/10/21, 11, 9, , 4
2018/10/22, 13, 12, , 4
2018/10/23, 16, 12, , 4
2018/10/24, 17, 10, , 4
2018/10/25, 13, 8, , 5
2018/10/26, 15, 12, , 4
2018/10/27, 14, 13, , 4
2018/10/28, 17, 17, , 5
2018/10/29, 20, 12, , 5
2018/10/30, 18, 9, , 6
2018/10/31, 14, 10, , 6
2018/11/1, 19, 9, , 5
2018/11/2, 11, 12, , 4
2018/11/3, 18, 12, , 4
2018/11/4, 17, 12, , 4
2018/11/5, 16, 12, , 5
2018/11/6, 18, 11, , 5
2018/11/7, 20, 11, , 6
2018/11/8, 16, 11, , 6
2018/11/9, 16, 9, , 5
2018/11/10, 15, 10, , 4
2018/11/11, 13, 14, , 5
2018/11/12, 17, 12, , 5
2018/11/13, 14, 11, , 6
2018/11/14, 14, 9, , 6
2018/11/15, 14, 10, , 5
2018/11/16, 15, 13, , 5
2018/11/17, 16, 11, , 5
2018/11/18, 14, 9, , 5
2018/11/19, 11, 8, , 5
2018/11/20, 14, 12, , 5
2018/11/21, 14, 15, , 6
2018/11/22, 22, 15, , 6
2018/11/23, 20, 17, , 6
2018/11/24, 23, 14, , 6
2018/11/25, 21, 10, , 6
2018/11/26, 17, 10, , 5
2018/11/27, 16, 14, , 6
2018/11/28, 17, 12, , 7
2018/11/29, 17, 11, , 6
2018/11/30, 14, 9, , 6
2018/12/1, 14, 7, , 5
2018/12/2, 11, 11, , 5
2018/12/3, 12, 16, , 5
2018/12/4, 19, 21, , 6
2018/12/5, 21, 16, , 5
2018/12/6, 18, 11, , 6
2018/12/7, 16, 11, , 6
2018/12/8, 12, 13, , 6
2018/12/9, 14, 10, , 6
2018/12/10, 20, 11, , 6
2018/12/11, 18, 12, , 6
2018/12/12, 17, 15, , 6
2018/12/13, 18, 15, , 6
2018/12/14, 15, 11, , 6
2018/12/15, 14, 12, , 6
2018/12/16, 17, 10, , 7
2018/12/17, 13, 10, , 7
2018/12/18, 17, 13, , 5
2018/12/19, 16, 9, , 4
2018/12/20, 10, 7, , 4
2018/12/21, 10, 9, , 4
2018/12/22, 13, 13, , 3
2018/12/23, 14, 8, , 3
2018/12/24, 14, 9, , 3
2018/12/25, 14, 13, , 5
2018/12/26, 19, 13, , 4
2018/12/27, 17, 11, , 4
2018/12/28, 16, 13, , 3
2018/12/29, 17, 16, , 3
2018/12/30, 19, , , 
2018/8/29, 24, 17, , 4
2018/8/30, 14, 13, , 4
2018/8/31, 12, 9, , 4
2018/9/1, 13, 11, , 4
2018/9/2, 13, 7, , 5
2018/9/3, 14, 9, , 5
2018/9/4, 10, 7, , 4
2018/9/5, 21, 16, , 4
2018/9/6, 22, 17, , 4
2018/9/7, 14, 12, , 4
2018/9/8, 16, 11, , 5
2018/9/9, 13, 9, , 5
2018/9/10, 13, 9, , 4
2018/9/11, 12, 8, , 5
2018/9/12, 16, 10, , 5
2018/9/13, 21, 13, , 5
2018/9/14, 17, 16, , 5
2018/9/15, 17, 13, , 4
2018/9/16, 17, 13, , 4
2018/9/17, 14, 10, , 5
2018/9/18, 13, 12, , 5
2018/9/19, 17, 12, , 6
2018/9/20, 20, 14, , 6
2018/9/21, 22, 15, , 5
2018/9/22, 16, 14, , 5
2018/9/23, 12, 12, , 5
2018/9/24, 14, 12, , 5
2018/9/25, 17, 11, , 5
2018/9/26, 15, 12, 2, 4
2018/9/27, 13, 7, 4, 4
2018/9/28, 12, 7, , 4
2018/9/29, 10, 8, , 3
2018/9/30, 13, , , 3
2018/4/10, 9, 13, , 5
2018/1/1, 22, 16, , 5
2018/1/2, 22, 12, , 5
2018/1/3, 19, 12, , 5
2018/1/4, 20, 17, , 5
2018/1/5, 26, 11, , 4
2018/1/6, 16, 8, , 4
2018/1/7, 18, 11, , 5
2018/1/8, 24, 14, , 6
2018/1/9, 23, 11, , 6
2018/1/10, 24, 10, , 6
2018/1/11, 27, 11, , 6
2018/1/12, 30, 11, , 6
2018/1/13, 30, 11, , 6
2018/1/14, 29, 8, , 6
2018/1/15, 27, 9, , 5
2018/1/16, 24, 12, , 
2018/1/17, 24, 16, , 
2018/1/18, 26, 10, , 6
2018/1/19, 24, 8, , 6
2018/1/20, 21, 10, , 5
2018/1/21, 26, 10, , 5
2018/1/22, 17, 8, , 3
2018/1/23, 20, 10, , 3
2018/1/24, 22, 13, , 4
2018/1/25, 27, 11, , 5
2018/1/26, 34, 13, , 4
2018/1/27, 34, 8, , 3
2018/1/28, 27, 7, , 4
2018/1/29, 27, 8, , 4
