date, pm25, pm10, o3
2018/9/24, 16, 66, 24
2018/9/25, 18, 83, 31
2018/9/26, 23, 73, 24
2018/9/27, 13, , 
2018/9/30, 11, , 18
2018/4/1, 25, 9, 32
2018/4/2, 36, 12, 33
2018/4/3, 34, 8, 38
2018/4/4, 25, 12, 38
2018/4/5, 35, 6, 39
2018/4/6, 26, 6, 36
2018/4/7, 15, 10, 32
2018/4/8, 30, 4, 38
2018/4/9, 28, 8, 30
2018/4/10, 28, 23, 32
2018/4/11, 71, 9, 12
2018/4/12, 59, , 
2018/4/14, 19, 6, 37
2018/4/15, 22, 5, 42
2018/4/16, 21, 6, 47
2018/4/17, 23, 4, 45
2018/4/18, 23, 6, 46
2018/4/19, 22, 7, 30
2018/4/20, 27, 10, 36
2018/4/21, 36, 11, 50
2018/4/22, 38, 15, 55
2018/4/23, 40, 18, 36
2018/4/24, 45, 12, 41
2018/4/25, 23, 27, 36
2018/4/26, 27, 26, 40
2018/4/27, 24, 22, 42
2018/4/28, 29, 33, 46
2018/4/29, 35, 43, 48
2018/4/30, 56, 15, 37
2018/5/1, 41, 7, 32
2018/5/2, 30, 10, 40
2018/5/3, 34, 6, 23
2018/5/4, 26, 22, 41
2018/5/5, 27, 11, 46
2018/5/6, 26, 27, 47
2018/5/7, 33, 20, 42
2018/5/8, 37, , 42
2018/5/9, 35, , 41
2018/5/10, 31, , 40
2018/5/11, 23, , 24
2018/5/12, 27, , 26
2018/5/13, 22, 1, 29
2018/5/14, 24, 9, 46
2018/5/15, 31, 18, 57
2018/5/16, 33, 24, 55
2018/5/17, 34, 28, 47
2018/5/18, 31, 13, 21
2018/5/19, 25, 8, 22
2018/5/20, 23, 7, 32
2018/5/21, 22, 10, 44
2018/5/22, 29, 18, 55
2018/5/23, 29, 17, 52
2018/5/24, 19, 19, 49
2018/5/25, 20, 32, 52
2018/5/26, 21, 29, 65
2018/5/27, 26, 35, 55
2018/5/28, 23, 29, 51
2018/5/29, 26, 12, 45
2018/5/30, 17, 29, 56
2018/5/31, 19, 20, 62
2018/6/1, 22, 12, 50
2018/6/2, 7, 14, 43
2018/6/3, 16, 20, 51
2018/6/4, 16, 26, 63
2018/6/5, 23, 26, 55
2018/6/6, 26, 14, 37
2018/6/7, 24, 15, 40
2018/6/8, 26, 7, 49
2018/6/9, 11, 6, 41
2018/6/10, 12, 12, 40
2018/6/11, 20, 17, 38
2018/6/12, 19, 14, 35
2018/6/13, 12, 22, 44
2018/6/14, 23, 32, 43
2018/6/15, 22, 26, 38
2018/6/16, 22, 16, 32
2018/6/17, 17, 5, 24
2018/6/18, 10, 5, 26
2018/6/19, 8, 3, 30
2018/6/20, 10, 3, 35
2018/6/21, 11, 8, 33
2018/6/22, 17, 11, 34
2018/6/23, 26, 10, 17
2018/6/24, 29, , 
2018/1/1, 29, 8, 28
2018/1/2, 32, 8, 30
2018/1/3, 27, 8, 27
2018/1/4, 37, 12, 27
2018/1/5, 45, 9, 27
2018/1/6, 38, 11, 21
2018/1/7, 48, 6, 18
2018/1/8, 26, 7, 18
2018/1/9, 31, 10, 11
2018/1/10, 58, 29, 30
2018/1/11, 19, 6, 29
2018/1/12, 17, 6, 27
2018/1/13, 17, 9, 26
2018/1/14, 31, 16, 27
2018/1/15, 28, 9, 27
2018/1/16, 17, 11, 23
2018/1/17, 29, 14, 17
2018/1/18, 30, 11, 18
2018/1/19, 24, 9, 22
2018/1/20, 18, 4, 21
2018/1/21, 28, 5, 23
2018/1/22, 29, 4, 26
2018/1/23, 24, 6, 22
2018/1/24, 46, 9, 20
2018/1/25, 66, 9, 29
2018/1/26, 18, 4, 28
2018/1/27, 12, 7, 21
2018/1/28, 30, 8, 24
2018/1/29, 22, 12, 21
2018/1/30, 33, 6, 29
2018/1/31, 19, 6, 27
2018/2/1, 23, 10, 23
2018/2/2, 23, 13, 22
2018/2/3, 32, 10, 33
2018/2/4, 16, 8, 32
2018/2/5, 18, 6, 32
2018/2/6, 21, 6, 33
2018/2/7, 36, 13, 34
2018/2/8, 54, 10, 33
2018/2/9, 34, 5, 36
2018/2/10, 25, 6, 41
2018/2/11, 33, 7, 37
2018/2/12, 40, 8, 40
2018/2/13, 47, 8, 37
2018/2/14, 46, 7, 28
2018/2/15, 27, 7, 31
2018/2/16, 18, 9, 26
2018/2/17, 14, 9, 33
2018/2/18, 25, 4, 29
2018/2/19, 23, 8, 34
2018/2/20, 21, 7, 36
2018/2/21, 32, 5, 32
2018/2/22, 31, 6, 36
2018/2/23, 44, 6, 40
2018/2/24, 42, 4, 41
2018/2/25, 22, 6, 33
2018/2/26, 35, 8, 39
2018/2/27, 36, 8, 40
2018/2/28, 53, 6, 39
2018/3/1, 30, 7, 35
2018/3/2, 28, 10, 37
2018/3/3, 31, 11, 34
2018/3/4, 36, 13, 34
2018/3/5, 23, 37, 40
2018/3/6, 18, 9, 40
2018/3/7, 44, 11, 41
2018/3/8, 48, 7, 34
2018/3/9, 43, 7, 31
2018/3/10, 44, 7, 38
2018/3/11, 50, 7, 41
2018/3/12, 51, 5, 37
2018/3/13, 17, 11, 38
2018/3/14, 25, 7, 39
2018/3/15, 37, 6, 32
2018/3/16, 22, 6, 29
2018/3/17, 35, 8, 28
2018/3/18, 45, 6, 38
2018/3/19, 42, 3, 32
2018/3/20, 30, 4, 36
2018/3/21, 25, 10, 37
2018/3/22, 49, 10, 32
2018/3/23, 45, 3, 39
2018/3/24, 25, 7, 31
2018/3/25, 41, 5, 26
2018/3/26, 35, 5, 35
2018/3/27, 26, 7, 30
2018/3/28, 28, 7, 34
2018/3/29, 24, 9, 35
2018/3/30, 20, 9, 30
2018/3/31, 33, 13, 37
2017/10/1, 27, 9, 23
2017/10/2, 32, 5, 27
2017/10/3, 18, 7, 20
2017/10/4, 8, 6, 13
2017/10/5, 20, 4, 19
2017/10/6, 11, 6, 30
2017/10/7, 19, 8, 34
2017/10/8, 16, 8, 23
2017/10/9, 9, 6, 24
2017/10/10, 7, 6, 30
2017/10/11, 10, 12, 29
2017/10/12, 27, 23, 28
2017/10/13, 22, 9, 19
2017/10/14, 28, 8, 28
2017/10/15, 17, 17, 34
2017/10/16, 17, 26, 32
2017/10/17, 21, 41, 35
2017/10/18, 34, 37, 9
2017/10/19, 28, , 
2017/10/24, 21, 29, 29
2017/10/25, 22, 43, 26
2017/10/26, 32, 18, 28
2017/10/27, 10, 34, 29
2017/10/28, 24, 20, 19
2017/10/29, 18, 10, 25
2017/10/30, 10, 15, 22
2017/10/31, 10, 23, 17
2017/11/1, 24, 22, 18
2017/11/2, 28, 18, 19
2017/11/3, 30, 38, 19
2017/11/4, 53, 8, 18
2017/11/5, 38, 10, 17
2017/11/6, 24, 14, 23
2017/11/7, 37, 23, 19
2017/11/8, 44, 12, 26
2017/11/9, 31, 22, 23
2017/11/10, 21, 37, 19
2017/11/11, 60, 26, 28
2017/11/12, 46, 19, 15
2017/11/13, 55, 9, 12
2017/11/14, 49, 18, 19
2017/11/17, 44, 9, 20
2017/11/18, 35, 6, 25
2017/11/19, 24, 8, 20
2017/11/20, 13, 15, 23
2017/11/21, 29, 23, 20
2017/11/22, 30, 12, 18
2017/11/23, 19, 10, 26
2017/11/24, 11, 11, 24
2017/11/25, 18, 17, 20
2017/11/26, 33, 23, 25
2017/11/27, 31, 15, 25
2017/11/28, 22, 22, 23
2017/11/29, 22, 14, 24
2017/11/30, 18, 24, 23
2017/12/1, 29, 27, 22
2017/12/2, 34, 27, 27
2017/12/3, 59, 15, 24
2017/12/4, 43, 4, 26
2017/12/5, 15, 4, 27
2017/12/6, 15, 7, 26
2017/12/7, 15, 7, 22
2017/12/8, 31, 7, 26
2017/12/9, 20, 11, 23
2017/12/10, 17, 10, 24
2017/12/11, 20, 12, 21
2017/12/12, 17, 15, 24
2017/12/13, 28, 9, 23
2017/12/14, 21, 11, 23
2017/12/15, 12, 13, 16
2017/12/16, 26, 11, 12
2017/12/17, 48, 17, 23
